"Gene ID","PA-0M-4","PA-0M-6","PA-0M-7","PA-0M-8","PA-5M-4","PA-5M-6","PA-5M-7","PA-5M-8","PACA-0M-4","PACA-0M-6","PACA-0M-7","PACA-0M-8","PACA-5M-4","PACA-5M-6","PACA-5M-7","PACA-5M-8"
"aat",3395,3526,3137,3151,2871,8167,3350,3099,3087,2992,2444,3169,4815,3712,6552,2672
"accA",26466,17709,23443,25311,12220,25313,11127,14292,23913,14772,19598,21523,23801,12486,24381,12391
"accB",20053,14260,14775,16101,13539,27739,21072,14176,22039,21893,14753,13372,18390,23648,32007,15949
"accC",53669,50846,50562,49639,41689,124571,58385,46019,57289,51440,45760,49775,70484,73654,118006,40570
"accD",18363,15965,16853,19872,13178,26035,11665,13636,16783,11672,13049,15009,23768,12650,28839,11384
"aceA",30240,55729,60172,32506,31944,70217,27384,28771,22472,33848,28374,22500,74229,20260,33812,20198
"aceE",129195,162983,117050,109728,82800,307983,135382,102610,115125,130080,101880,111907,131341,136252,238178,90187
"aceF",50405,67563,42444,37972,33287,145428,61092,35854,41299,49824,34076,37685,53031,53357,114019,31861
"aceK",17724,20829,19510,16117,14809,28622,17175,16073,15801,13079,14064,16105,24381,12502,29834,14112
"ackA",27161,23724,32694,23342,25543,41438,25444,22529,19764,17612,27916,18649,30563,20171,47715,21454
"acnA",80852,63755,99250,98825,60017,81541,57322,66408,87381,48303,89497,146959,137797,48249,140561,72588
"acnB",74479,105606,67918,63124,51242,255097,83086,73639,68205,99829,61468,62445,91722,125661,197303,68779
"acoB",2250,2172,2062,2723,2201,2769,1559,2891,2280,1587,1874,2878,5523,1605,3747,2305
"acoR",10279,11406,10752,9835,8828,13809,8623,8964,9884,5670,7626,10704,25432,4889,21577,7446
"acpP",79698,111188,100870,68317,83412,189041,118830,123474,79331,82876,75306,67509,126274,98095,183982,86218
"acsA",197143,372718,209132,300272,224884,883762,422806,359125,179866,234115,122401,250435,341458,314224,498916,176643
"acsB",15344,19907,19979,15146,15119,27813,19728,14675,17425,12157,17460,21062,34876,12065,37490,13878
"ada",4635,4306,4580,4991,4982,7862,3468,4827,4331,2682,3186,3918,9496,2658,8794,4287
"adhA",46331,40837,60466,40696,74264,53016,44671,66265,25745,22650,42513,24825,61856,24481,79960,42485
"adhC",47038,31104,44432,49430,24148,41651,25394,25478,39931,22990,36958,44991,38447,21041,53932,24880
"adk",31627,30946,36597,31492,20961,39563,21579,20585,30159,22417,27240,26949,33176,21675,35349,19073
"aer",94450,126211,90925,83461,75879,450834,98825,63767,79284,76015,67934,67996,146986,138097,344940,55925
"aer2",6262,5413,6665,8255,7555,5624,3916,8009,5953,5335,5201,6856,13904,3085,6743,6490
"aguA",15324,12901,17603,13334,14552,27023,15131,12659,15945,10136,14043,15925,32482,12153,31306,14551
"aguB",5642,4877,5012,4308,4237,8385,5628,3832,6284,4595,4898,5333,7878,5248,8888,4106
"aguR",3029,2648,2975,2973,2864,3517,2299,2446,2749,1913,2419,2827,4642,1812,3991,1967
"ahpC",55529,71630,80317,43442,49397,105702,60889,58312,62405,58344,70966,62568,100023,59428,113611,67885
"ahpF",8738,7925,8667,8326,7435,16995,7437,6428,8876,5839,7141,7487,15637,6933,17915,6243
"alaS",41184,28963,34721,42265,27382,52150,22694,29507,36615,22761,26115,34343,45588,26046,42165,27235
"alc",3429,3113,3137,3218,2706,3734,2049,2529,2878,2134,2291,3109,5068,1573,3702,2020
"alg44",1031,675,664,1106,1129,949,484,764,1222,627,886,1131,3427,402,911,600
"alg8",1965,1536,1606,2169,1673,1967,1159,1318,1966,1191,1535,2162,4157,836,2245,1053
