"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PA5471_at",5.80383158561189,4.88796914972684,35.727069513342,2.58971080148816e-15,1.22312041154286e-11,25.0163296004296
"PA5470_at",5.38260177190515,4.15910870689097,33.9872924969303,5.22181364677513e-15,1.23313129268595e-11,24.4151080648772
"PA5446_i_at",5.21518826908744,8.36232414116055,32.317563934183,1.05878902052983e-14,1.44568194175918e-11,23.7975980330299
"PA4221_fptA_at",-4.89152874828526,6.73253149553368,-31.9843824985083,1.22437598285766e-14,1.44568194175918e-11,23.6692935463343
"PA0805_at",4.60997701887278,6.78456027248908,27.1691786261109,1.19961322532663e-13,1.13315465264354e-10,21.5987171867963
"PA4826_at",4.90591181149153,4.83042672793322,26.4537997871816,1.74031442590615e-13,1.17621337631478e-10,21.2521435566517
"PA3731_at",4.02178396554637,8.45171886676086,26.3398400649965,1.84823154624613e-13,1.17621337631478e-10,21.1958870608297
"PA0447_gcdH_at",4.14680308715774,6.90394495440039,26.1983103461114,1.99231569140764e-13,1.17621337631478e-10,21.1256110602044
"PA4230_pchB_at",-5.56673772158094,7.02193869743459,-25.394805041956,3.07411383110999e-13,1.61322662492583e-10,20.7178237418018
"PA4229_pchC_at",-5.43560678373268,7.23067865743161,-25.0634600620746,3.69034562904969e-13,1.74295024060017e-10,20.5451698230931
"PA4386_groES_at",-3.97855149731218,7.48548883575013,-23.3448271500213,9.89586110142882e-13,3.9374991791215e-10,19.6045976100457
"PA3732_at",4.19732258710173,8.15271956568572,23.3114361516622,1.00941864081821e-12,3.9374991791215e-10,19.5855368729904
"PA4470_fumC1_at",-4.13163450056803,6.49541133071953,-23.1921798313904,1.08379185535845e-12,3.9374991791215e-10,19.5172050511357
"PA4429_at",-3.48454085991102,4.40082429209623,-21.1608426914221,3.84917431571085e-12,1.29854644950731e-09,18.288230369808
"PA5178_at",3.39219041494792,8.03889932439196,20.6690420726177,5.32262783882214e-12,1.67591808551713e-09,17.9708813796242
"PA4228_pchD_at",-3.97600790453575,7.22182437372852,-20.0593791786976,8.03623065496976e-12,2.26313111537088e-09,17.5658225616775
"PA4354_at",4.21528838662662,3.32809960629799,20.0024302223014,8.35651840968451e-12,2.26313111537088e-09,17.5273053205113
"PA1096_at",3.31409974223084,7.1069398998278,19.9186411789407,8.85278917936542e-12,2.26313111537088e-09,17.4704189991124
"PA4220_i_at",-3.70875662021098,6.07213663960419,-19.8780761955311,9.10427507771475e-12,2.26313111537088e-09,17.4427856705328
"PA0293_at",3.36002221343866,3.48486893752522,19.5596997894163,1.1364192817818e-11,2.68365413392773e-09,17.2237744004815
"PA2486_at",2.8723041506449,5.23708518995806,19.2096699185224,1.45581990003479e-11,3.27420827993539e-09,16.9785385891026
