"","GSM252496","GSM252501","GSM252505","GSM252506","GSM252507","GSM252508","GSM252559","GSM252560","GSM252561","GSM252562"
"AFFX-Bsubtilis_dapB_at",1.36518265685217,1.39817139413817,1.3765092143145,1.3709421779915,1.46105448929572,1.40054798934447,8.62434308808946,8.17839987384172,8.60371779144827,8.11245806926377
"AFFX-Bsubtilis_pheB_at",1.66741634264334,1.54646219326014,1.42632913525215,1.67765805073369,1.61970986520335,1.36903873250231,6.26531110804493,6.04512203870593,6.19550738179818,5.88953855798054
"AFFX-Bsubtilis_thrC_at",1.86899055651085,1.51461045438225,1.35360200893919,1.8452195836916,1.60191067605925,1.54271261159262,6.82270309372841,6.45201720116253,6.38625260924193,6.60090997908948
"ig_1046911_1047549_at",3.25693878324272,2.93978561942366,3.1176510222769,3.36307361949672,3.15755969065443,3.73618220903326,3.35000899628766,3.61847949571378,3.59737709950142,3.02947158127776
"ig_1047549_1046911_at",5.24634779546715,5.41902670071196,4.79829971020879,5.1050259110473,4.65832199588117,4.73540216674071,3.74079292406968,3.84654380189449,4.10376715041708,3.74018837331811
"ig_1087843_1087095_at",3.33237400544855,2.97911257661141,2.84606254457093,3.4920846273619,3.60276683343318,3.03423031978712,2.98071976781213,3.28834287645244,3.04214352827132,3.20113558246532
"ig_1117390_1118158_at",2.55348810279242,2.31195533713461,2.68424947455112,3.37111023535191,3.75992134253543,4.19482160911102,2.96159528279614,3.0414622406338,3.27966527043581,3.07251509313008
"ig_1204781_1205771_at",3.29499185875421,3.74151131090006,3.63997717910571,3.88298165050644,3.55476504942159,3.81870351505742,3.50248497248873,3.57080672176225,3.89711673440929,3.61929274842335
"ig_1205771_1204781_at",5.22118077071705,5.28714913601575,5.17729617956002,6.72414613208842,6.67902420495129,6.71689742419581,4.76594789072126,4.97292165690784,4.71366913015653,4.75661838408362
"ig_1255042_1254309_at",4.69429879110328,4.37430490336777,4.09217277887719,4.3003061877023,4.31678908080247,4.17909224422433,4.51936429063095,4.35514350712842,4.17058075366289,4.42090970970604
"ig_1427453_1428080_at",3.20669353066248,2.7639221544439,2.87312081163457,3.5910699921084,3.42954947277471,2.96895250271189,2.51028029953985,2.3621112158724,2.73882406537698,2.75436153100276
"ig_1428080_1427453_at",3.65279735191632,3.18430488113056,3.19566441249804,3.6221094574022,3.08918508815315,3.74687248948967,2.79235452315742,2.50625532493359,2.84531633409291,2.51916602668067
"ig_1553675_1554415_at",4.12790208889445,4.17685004897282,4.25421769910961,4.38638913713505,4.2071017728367,4.72636478830117,3.00010945679586,2.68304647608936,3.01164988256215,2.86064454287407
"ig_1947041_1948502_at",4.0912798890699,3.91381796558608,3.88056246006145,5.16596227720715,5.42070968301729,4.93140132666402,2.61194934095079,2.57759059425437,2.81785568362407,2.56716129477949
"ig_1996806_1997509_at",3.53547767544404,3.28554585708394,2.68405966731669,3.8039348027835,3.87877833056437,3.85013165934652,5.16230347107765,5.19198561330055,5.87820801077041,5.16230347107765
"ig_1997509_1996806_at",3.82054399908255,3.62115692191178,3.11975759331713,4.07085153308304,4.44664344751874,4.54941073912666,4.65099146061383,4.22243004558938,4.31937750515497,4.20687489372686
"ig_2117030_2116265_at",3.43344590580876,3.10064522007501,2.57047130518446,3.11691433386168,3.2084003019419,2.80581579155326,1.95235680545706,2.19286340199563,2.20174409256803,2.10235062534735
"ig_2165213_2164548_at",2.66384232503442,2.70811234754989,2.63036345505265,2.88036411657439,2.92806883638104,2.84981302522608,3.07120170724541,2.55890863620917,3.10927265917446,2.69172675172438
"ig_2239267_2240302_at",3.49713750181515,3.45951008764636,3.3090387629317,3.52843773981729,3.45702764242498,3.8959515019763,2.87220239811444,2.7355390770518,2.81028189587116,2.77985966040618
"ig_2240302_2239267_at",3.24499365137091,3.43775216126803,3.38846864323721,3.74716927153833,3.42529742870664,3.50940040846672,4.00731814227809,3.80514549007645,3.52796259543924,4.00805235544737
