"Gene","Locus_Tag","logFC","adj.P.Val"
"fptA","PA4221",-4.89152874828526,1.44568194175918e-11
"pchB","PA4230",-5.56673772158094,1.61322662492583e-10
"pchC","PA4229",-5.43560678373268,1.74295024060017e-10
"fumC1","PA4470",-4.13163450056803,3.9374991791215e-10
"groES","PA4386",-3.97855149731218,3.9374991791215e-10
"PA4429","PA4429",-3.48454085991102,1.29854644950731e-09
"pchD","PA4228",-3.97600790453575,2.26313111537088e-09
"PA4220","PA4220",-3.70875662021098,2.26313111537088e-09
"fpvH","PA2404",-3.37046913894249,3.5105696775613e-09
"era","PA0771",-3.00821628529632,4.45746374105377e-09
"lpxD","PA3646",-3.18449051744946,5.06045614212629e-09
"fpvA","PA2398",-4.87894129800766,5.2115295897399e-09
"fpvC","PA2407",-3.59330956698563,5.2115295897399e-09
"aspA","PA5429",-2.95390346626383,5.2279746307222e-09
"pqsB","PA0997",-4.56677621320751,5.34628741765227e-09
"PA4558","PA4558",-4.1546555062425,5.35795351630071e-09
"PA4757","PA4757",-3.01217100886903,6.8659631632837e-09
"ccoO1","PA1553",-3.41077131350785,7.57846482324766e-09
"gcpE","PA3803",-3.8139626165646,7.79436873429649e-09
"nuoD","PA2639",-3.44573947571173,7.80630462036006e-09
"PA4469","PA4469",-4.06396915789952,7.94448223433861e-09
"gidB","PA5564",-3.58658672204565,7.94448223433861e-09
"fpvJ","PA2405",-4.5527492437464,1.00772075081367e-08
"sodM","PA4468",-2.98841681275942,1.00772075081367e-08
"nuoE","PA2640",-2.5902370495358,1.02187395562228e-08
"lptC","PA4459",-3.29641979976861,1.02295071846888e-08
"aruB","PA0899",-2.74998776330909,1.10366755196551e-08
"groEL","PA4385",-3.98845069543895,1.3398023072829e-08
"pchE","PA4226",-3.25212240490699,1.6444342238018e-08
"PA3982","PA3982",-2.76075404090735,1.6444342238018e-08
"faoA","PA3014",-2.58945555159864,1.6444342238018e-08
"sdhA","PA1583",-3.41823832053932,1.86284723279375e-08
"nrdB","PA1155",-3.91276637508884,1.95736977594656e-08
"lpxA","PA3644",-2.71178795755692,2.3008949784113e-08
"pilJ","PA0411",-2.60927673393281,2.3008949784113e-08
"atpG","PA5555",-4.12121513333947,2.50746110078311e-08
"gcvP2","PA2445",-2.63562114525536,3.17502642335433e-08
"nuoF","PA2641",-2.50481207939585,3.275760586092e-08
"pchG","PA4224",-3.44132069829016,3.77837328108506e-08
"pqsE","PA1000",-4.43124457621725,3.79612687857519e-08
"PA4471","PA4471",-2.5467041679764,4.1071376683361e-08
"nuoI","PA2644",-2.96325428214086,4.19041976585984e-08
"sdhB","PA1584",-3.58719751531442,4.23140519966235e-08
"cysI","PA1838",-2.55238852587625,4.61289594395613e-08
"lepB","PA0768",-2.44062742680694,4.61289594395613e-08
"PA4672","PA4672",-2.54341323687063,5.10579927170744e-08
"sucB","PA1586",-4.77991190465186,5.51846616862771e-08
"hcp1","PA0085",-3.15641107364208,6.29895133616868e-08
"murF","PA4416",-2.21560098883451,6.55218900706953e-08
"ftsA","PA4408",-2.53975828188326,6.57728693141551e-08
"ampO","PA4219",-3.0537840316862,7.38544773584618e-08
"nuoH","PA2643",-2.1051600321476,7.38544773584618e-08
"pchF","PA4225",-3.19409420264558,8.50605844375891e-08
"wapP","PA5008",-2.47400001550231,8.50605844375891e-08
"aotP","PA0892",-2.09312515233222,8.72850393180704e-08
"rnc","PA0770",-2.16334334248338,9.34878715271731e-08
"phuR","PA4710",-3.30114923112826,1.05925365547191e-07
"acnB","PA1787",-2.28195579448282,1.05925365547191e-07
"rpoC","PA4269",-4.89770828919207,1.080647484751e-07
"eno","PA3635",-2.75480709596134,1.14538811950906e-07
"rmlA","PA5163",-2.27163140535294,1.17420545919778e-07
"PA4465","PA4465",-2.85638452060812,1.19477933346343e-07
"PA0401","PA0401",-2.13245125956152,1.23540170706206e-07
"nqrD","PA2996",-3.07181090357393,1.32473638801141e-07
"kdsA","PA3636",-2.13542824982228,1.35229019885307e-07
"nuoJ","PA2645",-2.10384411375101,1.35229019885307e-07
"fpvK","PA2406",-3.77490301988855,1.49108994979501e-07
"pqsC","PA0998",-4.67638489552551,1.49334653841513e-07
"mltD","PA1812",-2.55729614178949,1.49334653841513e-07
"surA","PA0594",-2.90818793659051,1.54118551279485e-07
"carB","PA4756",-2.86157081180684,1.64768564515714e-07
"phnA","PA1001",-4.25039112179121,1.68927664051423e-07
"ddlB","PA4410",-2.09388439804906,1.71053092293215e-07
"ftsQ","PA4409",-3.01492158290983,1.77071892603949e-07
"PA3647","PA3647",-1.98337992186774,1.77071892603949e-07
"waaG","PA5010",-2.20645697629596,1.79587767578785e-07
"rpoB","PA4270",-4.69955778500041,1.79606723602311e-07
"serC","PA3167",-2.64789755129026,2.01785722590723e-07
"murD","PA4414",-2.17409273631715,2.01785722590723e-07
"PA0891","PA0891",-1.95249523145317,2.30239007634926e-07
"hisS","PA3802",-2.30028452170835,2.32904746921813e-07
"PA4673","PA4673",-2.29763919189676,2.32904746921813e-07
"PA4430","PA4430",-2.66892205476057,2.38985055744352e-07
"sucA","PA1585",-3.82205338193843,2.47566869880146e-07
"PA3213","PA3213",-1.92295631674845,2.52129413151516e-07
"dacC","PA3999",-2.59881424491544,2.77522062477439e-07
"murC","PA4411",-2.19287035321188,2.9431698364963e-07
"ccoP1","PA1552",-3.31375565754985,3.11091291270654e-07
"fpvG","PA2403",-2.15314766593083,3.13497465889202e-07
"tssC1","PA0084",-2.6923027544133,3.30591849699429e-07
"PA2992","PA2992",-2.32827802784833,3.4093121103965e-07
"purH","PA4854",-2.05383374966081,3.60309142090457e-07
"PA4222","PA4222",-2.46455691776176,3.70168148922879e-07
"PA2761","PA2761",-2.07419600330408,3.70314240602223e-07
"aceA","PA2634",-3.5599837898035,3.78294654613394e-07
"ftsW","PA4413",-2.22993815886989,3.78407046283336e-07
"nuoL","PA2647",-2.40471018618496,3.8637066067094e-07
"valS","PA3834",-3.02440835066783,4.10334237332901e-07
"PA1766","PA1766",-2.21403237392931,4.22205817759587e-07
"serS","PA2612",-1.68314781998114,4.22205817759587e-07
"PA3012","PA3012",-1.82396042552465,4.51577689643241e-07
"PA5568","PA5568",-2.77557022241297,5.57013276632482e-07
"shaD","PA1057",-1.80800992677467,5.79341347964291e-07
"nuoG","PA2642",-2.01891172944382,5.95542540148229e-07
"typA","PA5117",-2.34626398165939,6.01851029839337e-07
"secF","PA3820",-2.23808758966614,6.14875579591111e-07
"lptE","PA3988",-2.29769390798096,6.8904253863671e-07
"atpD","PA5554",-2.99601949413218,6.93469572938297e-07
"dnaK","PA4761",-3.45044905336649,7.00807950359463e-07
"hepA","PA3308",-1.79230892630859,7.55483987851951e-07
"folK","PA4728",-1.68029197954785,7.90714291239185e-07
"faoB","PA3013",-2.64569796029285,8.0312419197448e-07
"ansB","PA1337",-2.87516075292309,8.05750814529835e-07
"ftsZ","PA4407",-2.45167055576386,8.50735427733218e-07
"PA2393","PA2393",-3.4406866260879,8.99876795459161e-07
"phzG2","PA1905",-4.49396171683505,9.41933166377779e-07
"icmP","PA4370",-3.09628297150574,9.81037399469403e-07
"dnaN","PA0002",-2.17175365799198,9.81037399469403e-07
"aotM","PA0890",-1.62832757459296,9.81037399469403e-07
"pdxA","PA0593",-2.01011935933157,9.91092101688046e-07
