"Gene","Locus_Tag","logFC","adj.P.Val"
"armZ","PA5471",5.80383158561189,1.22312041154286e-11
"PA5470","PA5470",5.38260177190515,1.23313129268595e-11
"PA5446","PA5446",5.21518826908744,1.44568194175918e-11
"fptA","PA4221",-4.89152874828526,1.44568194175918e-11
"PA0805","PA0805",4.60997701887278,1.13315465264354e-10
"PA4826","PA4826",4.90591181149153,1.17621337631478e-10
"gcdH","PA0447",4.14680308715774,1.17621337631478e-10
"PA3731","PA3731",4.02178396554637,1.17621337631478e-10
"pchB","PA4230",-5.56673772158094,1.61322662492583e-10
"pchC","PA4229",-5.43560678373268,1.74295024060017e-10
"PA3732","PA3732",4.19732258710173,3.9374991791215e-10
"fumC1","PA4470",-4.13163450056803,3.9374991791215e-10
"groES","PA4386",-3.97855149731218,3.9374991791215e-10
"PA4429","PA4429",-3.48454085991102,1.29854644950731e-09
"PA5178","PA5178",3.39219041494792,1.67591808551713e-09
"PA4354","PA4354",4.21528838662662,2.26313111537088e-09
"pchD","PA4228",-3.97600790453575,2.26313111537088e-09
"PA4220","PA4220",-3.70875662021098,2.26313111537088e-09
"PA1096","PA1096",3.31409974223084,2.26313111537088e-09
"aguB","PA0293",3.36002221343866,2.68365413392773e-09
"ptrC","PA2486",2.8723041506449,3.27420827993539e-09
"PA4635","PA4635",3.84799323105142,3.44259790736536e-09
"fpvH","PA2404",-3.37046913894249,3.5105696775613e-09
"era","PA0771",-3.00821628529632,4.45746374105377e-09
"gapA","PA3195",2.95794818346793,4.81496126243709e-09
"lpxD","PA3646",-3.18449051744946,5.06045614212629e-09
"fpvA","PA2398",-4.87894129800766,5.2115295897399e-09
"fpvC","PA2407",-3.59330956698563,5.2115295897399e-09
"amrZ","PA3385",3.04659062478654,5.2279746307222e-09
"aspA","PA5429",-2.95390346626383,5.2279746307222e-09
"pqsB","PA0997",-4.56677621320751,5.34628741765227e-09
"PA4558","PA4558",-4.1546555062425,5.35795351630071e-09
"PA4757","PA4757",-3.01217100886903,6.8659631632837e-09
"PA0060","PA0060",2.99727851025104,7.20844994779625e-09
"ccoO1","PA1553",-3.41077131350785,7.57846482324766e-09
"gcpE","PA3803",-3.8139626165646,7.79436873429649e-09
"nuoD","PA2639",-3.44573947571173,7.80630462036006e-09
"PA4469","PA4469",-4.06396915789952,7.94448223433861e-09
"bfrB","PA3531",3.61601797652596,7.94448223433861e-09
"gidB","PA5564",-3.58658672204565,7.94448223433861e-09
"PA3819","PA3819",3.43144902319968,8.47825926809967e-09
"fpvJ","PA2405",-4.5527492437464,1.00772075081367e-08
"lexA","PA3007",3.01622828270529,1.00772075081367e-08
"sodM","PA4468",-2.98841681275942,1.00772075081367e-08
"nuoE","PA2640",-2.5902370495358,1.02187395562228e-08
"lptC","PA4459",-3.29641979976861,1.02295071846888e-08
"mucA","PA0763",2.6831885520883,1.02295071846888e-08
"aruB","PA0899",-2.74998776330909,1.10366755196551e-08
"groEL","PA4385",-3.98845069543895,1.3398023072829e-08
"phoB","PA5360",2.97532093874965,1.3398023072829e-08
"pchE","PA4226",-3.25212240490699,1.6444342238018e-08
"PA3982","PA3982",-2.76075404090735,1.6444342238018e-08
"faoA","PA3014",-2.58945555159864,1.6444342238018e-08
"PA1029","PA1029",3.70925298047,1.65791588034308e-08
"PA3031","PA3031",3.13792643001897,1.65791588034308e-08
"PA0833","PA0833",2.50589192094744,1.65791588034308e-08
"algU","PA0762",2.91077485513689,1.67556223990885e-08
"sdhA","PA1583",-3.41823832053932,1.86284723279375e-08
"nrdB","PA1155",-3.91276637508884,1.95736977594656e-08
"PA3369","PA3369",3.11005952004122,1.95736977594656e-08
"capB","PA3266",3.04571061789933,2.16778117598483e-08
"PA2747","PA2747",2.99050980051837,2.16778117598483e-08
"PA3577","PA3577",2.9885207807684,2.16778117598483e-08
"rpmE","PA5049",3.16486338581966,2.24462002897122e-08
