"Gene","Locus_Tag","logFC","adj.P.Val"
"armZ","PA5471",5.80383158561189,1.22312041154286e-11
"PA5470","PA5470",5.38260177190515,1.23313129268595e-11
"PA5446","PA5446",5.21518826908744,1.44568194175918e-11
"PA0805","PA0805",4.60997701887278,1.13315465264354e-10
"PA4826","PA4826",4.90591181149153,1.17621337631478e-10
"gcdH","PA0447",4.14680308715774,1.17621337631478e-10
"PA3731","PA3731",4.02178396554637,1.17621337631478e-10
"PA3732","PA3732",4.19732258710173,3.9374991791215e-10
"PA5178","PA5178",3.39219041494792,1.67591808551713e-09
"PA4354","PA4354",4.21528838662662,2.26313111537088e-09
"PA1096","PA1096",3.31409974223084,2.26313111537088e-09
"aguB","PA0293",3.36002221343866,2.68365413392773e-09
"ptrC","PA2486",2.8723041506449,3.27420827993539e-09
"PA4635","PA4635",3.84799323105142,3.44259790736536e-09
"gapA","PA3195",2.95794818346793,4.81496126243709e-09
"amrZ","PA3385",3.04659062478654,5.2279746307222e-09
"PA0060","PA0060",2.99727851025104,7.20844994779625e-09
"bfrB","PA3531",3.61601797652596,7.94448223433861e-09
"PA3819","PA3819",3.43144902319968,8.47825926809967e-09
"lexA","PA3007",3.01622828270529,1.00772075081367e-08
"mucA","PA0763",2.6831885520883,1.02295071846888e-08
"phoB","PA5360",2.97532093874965,1.3398023072829e-08
"PA1029","PA1029",3.70925298047,1.65791588034308e-08
"PA3031","PA3031",3.13792643001897,1.65791588034308e-08
"PA0833","PA0833",2.50589192094744,1.65791588034308e-08
"algU","PA0762",2.91077485513689,1.67556223990885e-08
"PA3369","PA3369",3.11005952004122,1.95736977594656e-08
"capB","PA3266",3.04571061789933,2.16778117598483e-08
"PA2747","PA2747",2.99050980051837,2.16778117598483e-08
"PA3577","PA3577",2.9885207807684,2.16778117598483e-08
"rpmE","PA5049",3.16486338581966,2.24462002897122e-08
"rpmA","PA4567",2.48119537324768,2.3008949784113e-08
"PA0329","PA0329",2.83948065409404,2.68144812300933e-08
"PA4326","PA4326",3.46977121593776,3.09203610039111e-08
"PA2482","PA2482",2.79552244985245,3.09203610039111e-08
"rpsI","PA4432",2.48556139444842,3.79612687857519e-08
"PA1095","PA1095",2.73894328171339,4.81387462102215e-08
"PA0310","PA0310",2.33642333420361,6.14820867262258e-08
"PA0462","PA0462",2.27740204026396,6.90202418681891e-08
"eco","PA2755",3.31679173360828,8.16451011645047e-08
"recA","PA3617",2.13023356960447,8.21139362069849e-08
"pstS","PA5369",2.55454924012141,9.15119950594641e-08
"PA3730","PA3730",2.52620182968949,1.05925365547191e-07
"PA3990","PA3990",2.45086721282282,1.05925365547191e-07
"flgM","PA3351",2.36212193191378,1.05925365547191e-07
"mgtA","PA4825",2.13896510338007,1.05925365547191e-07
"sulA","PA3008",2.0656028926929,1.05925365547191e-07
"PA0922","PA0922",2.29405264594901,1.080647484751e-07
"mgtE","PA0913",2.12556268361049,1.08637213301549e-07
"PA0456","PA0456",2.11190565683707,1.19477933346343e-07
"PA4574","PA4574",2.05321528723147,1.21859733141284e-07
"PA3496","PA3496",2.98497250635456,1.23108578327327e-07
"PA0039","PA0039",2.64304571844199,1.25735382051838e-07
"fimS","PA5262",2.18114319767129,1.35229019885307e-07
"PA3386","PA3386",2.40256062920171,1.36521975374078e-07
"PA4656","PA4656",2.14857656648297,1.47067025940817e-07
"smpB","PA4768",2.17636814159902,1.60646498614155e-07
"PA0760","PA0760",2.18609922421743,1.67710757534614e-07
"motY","PA3526",2.32750220987704,1.69710739017741e-07
"PA5212","PA5212",3.69627947646261,1.74171857816161e-07
"zwf","PA3183",2.53312989232061,2.02830357774134e-07
"PA1574","PA1574",2.41364803189788,2.33363191146923e-07
"obg","PA4566",2.04898051047785,2.39056054072844e-07
"PA0655","PA0655",2.02639991452682,2.86439935435029e-07
"PA3674","PA3674",2.29431325422864,2.99751409352581e-07
