"","PA-0M-4","PA-0M-6","PA-0M-7","PA-0M-8","PA-5M-4","PA-5M-6","PA-5M-7","PA-5M-8"
"P13",12.2375635912367,12.08707911687,12.3251235770688,12.3395765486719,11.4984268782521,11.2131972227612,11.7132876114243,11.6323614922998
"P15",12.3197739420056,13.0019569870545,12.6509201201912,12.3781749533346,12.481954650674,12.4508233051946,13.2553346514806,12.674987094933
"P26",10.7242764370807,11.5036906121362,10.5915192467663,10.5606922483491,10.5116520236631,12.7168231857332,12.016423945968,11.0318142339093
"P27",15.1587381429,16.2183377356032,15.0634715206545,14.6857583316484,15.0425663025885,17.2642670345849,17.5391412606424,16.1153360981136
"P32",9.15921309084685,9.46044423721971,9.66943376617543,9.16110268537369,9.59870184639104,9.4003987476188,10.180928565989,9.71538766114657
"P34",10.7017835920945,10.4683640202712,10.4377593648014,10.8752937076696,9.76642530660466,10.0260021227531,10.0231891954534,10.1513093615773
"P35",6.48006320105162,6.68497050786552,6.81982177951681,7.01721382954752,6.91849434863139,7.12848493077255,6.93956467002119,6.87443418400399
"P36",7.48318161965645,7.97343212928702,7.76812777203335,7.40840126841541,7.73618596426433,8.38647025242458,7.76308886565282,7.49651563842771
"P5",11.7242500636632,11.8673516796601,12.2760053192874,11.4408390997091,12.0561517762267,11.6272292230737,12.4585963817606,11.9601566793845
"P7",11.7755332438637,11.8890221008346,11.769715486767,12.1591464266905,11.2273989226861,11.2009414863204,11.7464183029273,11.7009543875492
"P8",9.67377563720709,9.66419400745066,9.43634448871853,9.7361063040004,9.04277737600926,9.51929592844188,9.44657635118936,9.11173370712743
"P9",9.73362386688554,10.0393013714573,10.1871619425142,10.0115936727639,9.75533629149102,10.065602933096,9.81565322453146,9.17938131477538
"PA0006",12.6702051896129,12.9642698677824,12.8530766626281,12.5794493804164,12.5108029752453,13.0117506819506,13.0226546650287,12.494686133855
"PA0007",12.1070294365521,11.916246641968,12.0203138032404,12.3965989803157,12.4690084692385,12.2620897633119,12.1405095761175,12.879638228196
"PA0012",11.4789714336559,11.7854145478237,11.8146886115961,11.5480783790538,11.3921112034907,11.5463013912299,11.6584148640386,11.5268934859369
"PA0013",11.3023060900928,11.2174767377945,11.1406658097635,11.4684055079128,10.7518300281899,11.0007760618173,10.8302919034456,10.7644476645945
"PA0014",10.3065518129049,10.3894607937695,10.3929111066954,10.338636368787,10.0647161195122,10.4183480624913,10.4876278166997,10.3569541669144
"PA0015",11.6561138408337,11.9456502245429,11.7346231301191,11.585889369853,11.8579651152795,12.4326930840045,12.2846489088231,11.9177705963664
"PA0017",13.1844919496997,12.9714351139652,12.9371927604249,13.2012990672444,13.0385099447515,13.4697598627716,13.2951536570101,13.0470824685327
"PA0021",9.83013668090625,9.49437229842899,9.40515560370741,9.86762224563375,10.7840046923312,9.7747194533058,9.63479414090219,9.95228467549084
"PA0022",12.2005166382734,12.2685654625726,12.3066888285232,12.0663991684052,12.1270223168935,12.2688460693628,11.9656693918676,12.0480629234987
"PA0027",10.9421077544514,10.7746690534527,10.6879180027939,11.1178913630534,11.2146407549943,10.8519564660185,10.4876278166997,10.8068754187886
"PA0028",9.63697523041691,9.38331789188019,9.24526234717484,9.80634742224577,10.0190925173149,9.13603075678997,9.25743226644718,9.47451041865225
"PA0029",11.0886149355564,10.6219833137521,10.7396470201869,11.3507504703843,11.2779779363514,10.4455389193868,10.427270971277,10.7548473596549
"PA0032",12.4085046273791,12.7575184026246,12.6522481149242,12.1727893539416,12.3816016968114,12.4977761712841,13.104525725997,12.4125120951448
"PA0032a",11.7658861049027,12.3821543302552,11.9792816130276,11.4693467419187,11.8501717116075,13.0400545845454,12.3447556218809,11.7138938004664
"PA0034",10.5144409954452,10.5186656513082,10.4490116147764,10.4974976680691,10.4198501082354,11.016402230058,10.4669193935598,10.406850516696
"PA0038",14.0840141215068,13.9542935486396,14.8098085608381,14.4969819055899,14.8327378582709,14.0987760407202,14.7869361171429,14.3453347636942
"PA0039",14.7096409886721,15.1765108433372,15.3500312165101,14.8979357216836,15.0689191237955,15.4926439155653,15.5285267074072,15.188604310065
"PA0040",13.2790823888649,13.0045328435169,13.2905433436465,13.3573933579684,13.2073081531451,13.0074567922217,13.301014560162,13.121613638681
"PA0041",14.7147143890693,14.7107051213567,14.4827927767979,14.5284803633404,15.2787312363589,15.6672259695043,15.7898360886938,14.981968789878
"PA0041a",11.7499237931884,11.7112127904834,12.1789122894118,11.3389545362659,12.7661184824212,11.5289755159676,13.349540292902,12.574069219912
"PA0042",11.0279154564734,10.7520707257649,10.8655969009584,10.9138347674686,11.709848469249,11.0592758609607,11.1819453130002,11.6260567103808
"PA0043",12.6125974531892,12.859217104403,12.6093618989241,12.6373343181221,12.547945402388,12.8690160722285,12.6073196696875,12.3198499628108
"PA0045",12.2555984518589,12.0293438306014,11.8382167776802,12.0343213321638,12.5036447948357,13.340829726153,12.932792664199,12.4558143652353
"PA0046",11.3731503108539,11.1176682578749,10.9629941460902,11.2552046328927,11.7040951437061,12.5946368736591,11.8698489289881,11.5426001150262
"PA0047",11.4043273763459,11.4256600740186,10.977900328036,11.3176847561664,11.7026532199987,13.034821693907,11.815607923649,11.3760109334659
"PA0048",11.7318020671819,11.7260048937983,11.7943834650291,11.5640270012944,11.9463134485867,12.0138354105245,11.6220044042894,12.1449510207783
"PA0049",15.0583474743339,15.056676705333,15.2963993390438,14.7545952359935,15.2722250928164,14.6322060933118,14.8322237234522,15.5505694372091
"PA0050",11.2051363756216,11.1419387651694,11.2604527314475,11.1662911132407,13.4298646611152,11.7025699964288,11.8747695986167,13.2768989656891
"PA0052",9.64035982163806,9.38783811508332,9.46081842020423,9.55457705293666,9.97675929579759,9.90134582314757,9.50617475334332,9.68940749022074
"PA0054",11.4073090582621,11.5161230837656,11.5961215841425,11.0857218146733,11.5639516178204,11.9376480899405,11.5018312185418,11.4343063232
"PA0055",12.9820748894734,13.2534610195242,13.4433383836295,12.6583271234501,12.6965939502975,12.9746387211534,12.8377155118303,13.1101777884511
"PA0057",10.8797835770292,10.6162196623697,10.9919548997622,10.7344053716431,11.0870865222997,10.3310598389912,10.524420339294,10.9642765315649
"PA0060",12.0938266085324,11.6457723966802,12.5770969561854,12.3170102689885,12.431490428722,11.4914522425306,12.1091178573681,12.276899369894
"PA0061",12.0984459820632,12.2098263880336,12.3052826104941,12.1480208639344,12.3022664094797,12.4208046386096,12.4910036094358,12.2412500812124
"PA0062",11.147457565208,10.7255480349012,11.0609110664232,11.299276147905,11.3825373309963,10.4167787061419,10.860374801793,11.5121540286945
"PA0063",13.1092811128873,13.2950858900245,13.0765892667524,13.0217594909347,12.9861357153861,13.1513301520391,13.1478532278537,12.8709999896125
"PA0064",12.5023539970914,12.5655323998891,12.528028380389,12.3906493620902,12.680325586086,12.9989615687366,12.9173752578112,12.4543323940918
"PA0065",12.0929009562148,12.1101566251762,12.2455351071609,11.9575835038495,12.1811760856045,12.149214038042,12.5348736448418,12.2728694686318
"PA0066",11.8357927011218,12.02100788249,12.0182553443874,11.6718053632813,11.7903392268409,12.1839905590492,12.0376409231195,11.8041538913823
"PA0068",11.6295499914822,12.0519334519482,11.826108479317,11.3999575970847,11.7026532199987,12.7798228445567,12.1494706109377,11.7089308284916
"PA0069",12.5265502104698,12.065037348847,12.1764530730931,12.698816181737,11.8291810931887,12.3708287903361,12.0537853261235,11.574055446235
"PA0095",12.8564422334301,12.7616574084108,12.9841748387209,12.6560555451711,13.8716585383711,13.4747640987203,14.2790972560099,13.811584639492
"PA0096",9.36558590854989,9.13973218821085,9.488855640766,9.17040181568342,10.545295787327,9.67581323345975,10.2537665404145,10.0808164112402
"PA0097",10.7666892833049,10.3071825914383,10.7396470201869,10.6101808029423,11.6562304889131,10.9326835014511,11.239541454918,11.3360106470714
"PA0098",7.65501315923173,7.13312461779101,7.38543028059592,7.60109848925876,8.44389467045851,7.55545395922819,8.01337744972506,8.20124112999431
"PA0101",10.6879540966173,10.5801589740411,10.3960857174393,10.6979271129269,11.7721237948052,10.5622813715278,11.0154719365672,11.18048795379
"PA0103",11.889732368718,11.5047307536063,11.6333589404382,11.8518443400374,11.5171414241898,11.4109816822157,10.9866674771029,11.0993682403087
"PA0103a",11.4690172924726,11.3048650348849,11.503996629157,11.2897165941164,11.1075712302715,11.3369995241207,11.3914798953983,11.1301395317155
"PA0107",9.92198245777371,9.46686690164518,10.1662398468364,10.1222767891256,10.1248218840487,9.19952095042353,9.65324859365046,10.1802917147542
"PA0109",10.1240318304823,10.7668865575703,10.5531673455817,10.1659027405035,10.545295787327,10.3631933710456,10.6888061304401,10.5788584186357
"PA0110",9.3676298814365,8.85945706963179,9.39036645412871,9.68514235296599,10.1233853086906,8.57316096538621,8.88413335937868,9.48848771781212
"PA0111",9.17797476256755,8.61892617600154,9.27547618912523,9.49478386059114,9.87798308193092,8.41827285614407,8.88803800302724,9.44852780900511
"PA0112",10.1456230138494,9.44100265595208,9.6535996073678,10.1270572452068,10.6215525992912,9.4686706387202,9.57070580762239,10.0761976703706
"PA0113",11.0692918903983,11.1237742753127,11.0708766527533,11.0446318747778,11.1749818330504,11.0557513293329,11.182739167851,11.0694759678145
"PA0115",11.6158675689301,11.6898799120503,11.7831128053074,11.4331409465489,11.5356162940614,11.6527825069443,11.6161395081896,11.6782812691302
"PA0116",11.6920112176126,12.0264498303809,11.7967871929356,11.5893568059691,11.8558045007137,12.2244657854695,11.9092319133274,11.8162037196483
"PA0117",10.5291166089447,10.8263384387198,10.51181795816,10.5094450955336,10.658716395497,10.8285426336844,10.4914777600543,10.6068785345796
"PA0118",10.5687211362529,10.9808415820401,10.6879180027939,10.2776047384065,10.7739697767341,11.0308354925739,10.738246722267,10.723689804834
"PA0119",12.7596346699485,13.925165088199,12.8670598267585,12.3434318588923,12.6552011455433,14.2321082245948,13.9566591097349,12.4225509525859
"PA0120",11.5788806049554,12.4571431015666,11.5961215841425,11.1334141605314,11.6552369311958,13.0165498943419,12.5151552374106,11.2221882683906
"PA0121",11.3695876108423,11.9142910223935,11.4692563391335,10.9932037591992,11.5215097865688,11.7769253157382,12.2634184187763,11.0955703374859
"PA0123",11.1367181468244,10.9506260300091,11.0237699953776,11.2293235111482,11.3249702588784,11.2991740938072,11.1449475098938,11.5018608458449
"PA0124",9.50580588568389,9.71542989594747,9.70058958791853,9.45539978240513,9.97197795087248,10.376979297536,10.077139679914,10.211513604812
"PA0125",10.5245465005899,10.6315385105551,10.7462955955247,10.3303702119804,10.941454994847,10.6423497501216,11.1236081638569,11.2074835693267
"PA0126",12.777603929299,12.6626212866669,12.4722279593931,11.8906546525509,14.3944870580367,14.237451304644,14.969307339075,14.2313296730468
"PA0127",11.9822821248859,12.6412620751116,12.2954005166705,11.7013476441254,12.2000344190568,12.9687611245005,12.7759311605793,12.3491722167435
"PA0128",11.6903802072386,11.7564522319778,11.8613673664574,11.6627822639302,11.5634221082683,12.0015881381825,11.7356393958195,11.498413398994
"PA0134",12.688499227843,12.7379707545875,12.6593101815839,12.6375436720946,12.9784109070713,12.9084897742551,12.8959944155134,12.8309038462758
"PA0135",7.68173185876799,6.80101674716364,7.00129919212794,7.98181285047256,7.95343286673026,7.23358958067018,6.82765084151463,7.37001774696684
"PA0136",10.7988358727419,10.2512549832145,10.0989926805561,10.9767490497194,11.1313462989662,10.1902621257961,9.87581614949179,10.4527046849394
"PA0137",10.5819778803508,9.87682979994882,9.99254813589088,10.8320400901344,10.6367346011489,9.55969191643257,9.65324859365046,10.1247176559281
"PA0138",10.8041246667903,10.6286785923299,10.539834469274,11.1755485239704,10.9592764109442,10.3310598389912,10.5331624241763,10.5907795821876
"PA0141",14.5311762453576,13.824006802798,14.7930008378907,13.9325472274221,15.0099540507932,13.7918176161875,15.0075559343343,14.6935653534528
"PA0142",12.4085046273791,12.1422583095871,12.2194929341694,12.5006192822548,12.0501171893246,11.4513948512506,11.7613747371268,11.9335989576132
"PA0144",9.86092321364446,9.45614650015526,9.56231628631193,9.83292760186311,9.96878155574157,9.78935097662122,9.33094350877082,9.56961862480838
"PA0145",12.0620163814191,12.3967950084243,12.2554722817971,11.8197311839217,12.1363089747375,12.3518632624776,12.6666867016871,12.1700865755695
"PA0146",10.4986827796696,10.4162443898082,10.3367442330305,10.5321464145005,10.6195162042065,10.0845086225619,9.91648447771066,10.2625450746733
"PA0147",11.0935597923045,11.3361713193924,11.3389724608733,10.928967399249,11.4861867972065,11.2418385720457,11.5056430477532,11.3054297134236
"PA0148",12.8615238898931,13.2761758139281,13.1531572144337,12.6040830934044,13.0491386850429,13.550591428708,13.7311888674596,13.2774019079733
"PA0149",9.57288243352453,9.36279951208457,9.17301946917967,9.53312004289644,10.1658719302382,9.8499295483084,9.46497735687653,9.6650029066321
"PA0150",10.6879540966173,10.1038888444093,9.84080189184666,10.5904156297,10.7564705837458,10.2157572384029,10.2077008602006,10.259832304017
"PA0151",11.3511248633968,10.8527212011194,10.8525614091052,11.3527921270228,11.941838876817,11.0400383341875,10.8820435605216,11.2408766942598
"PA0159",12.0910478678794,12.2139660103282,12.1327239817667,12.080327522597,12.1331011230122,12.156988817635,12.3106642874613,12.1305478190727
"PA0160",9.85947200124512,9.91646226672456,9.76423131611513,9.813780100682,9.80637042843272,9.72864735648943,9.83598779222774,9.88872797532013
"PA0163",11.5779988014001,11.7026268117836,11.6162220322003,11.560939658256,11.5111132449218,11.6214508760977,11.3630461009693,11.2922173137575
"PA0164",11.4907327359151,11.2746946844585,11.1343438432364,11.4518337162997,11.6847499693682,11.030322498002,10.9747993585444,11.2145045043098
"PA0165",11.0674081080091,11.0111693346882,10.6288777035443,11.0029872341684,10.871309235589,11.2884885856713,10.8830208117905,10.8372146375134
"PA0166",10.7138769354758,10.5124730567,10.2714024253523,10.7630915047094,10.9871825509597,10.5700677128603,10.3530355314343,10.4925317304573
"PA0167",12.6346033326372,12.4670491144636,12.7971492566739,12.4121009814187,12.6260861782693,12.1728786531026,12.8889586148997,12.8254113545442
"PA0168",11.3282335927661,10.9483341422708,11.1311724395062,11.2398420702414,11.4297836805925,11.2983221599035,11.247910054656,11.3366543133867
"PA0173",9.7399475703141,9.45399281473679,9.35380490916192,9.88607227449475,10.5708140414502,9.35192266456685,9.4492194981346,10.1052028981477
"PA0174",9.31352063977915,9.0369601572921,8.91987615131676,9.50216505629282,9.85392782373208,8.84035907854353,8.74032986368162,9.69945535846941
"PA0177",10.7713257507346,10.6410308219886,10.9297940611853,11.1003780971959,10.9800580882937,10.1727015380344,10.4590764285518,11.1016421915689
"PA0178",12.2799322460724,11.9068353963434,12.3314928557413,12.5568250233522,12.4236349282565,11.7637161682206,12.0288384060496,12.5314139151393
"PA0179",11.2958848219992,11.3810431949818,11.5644956831341,11.6362077144723,11.2630547879792,11.0018230892574,10.9367164082706,11.6059078184395
"PA0181",11.2937380317282,11.7313464561579,11.3471958500415,11.2192873093205,11.3199631836101,11.9083565407636,11.5157589566681,11.1696911497147
"PA0182",10.0623023753224,10.1229851402586,9.99254813589088,9.98419011501291,10.545295787327,10.4744913075853,9.85802942878666,9.9113793606177
"PA0184",10.0860719227612,9.33731799828805,10.560731156903,9.79737732364669,10.9438981920826,9.57102864697953,10.077139679914,10.1351172248641
"PA0185",10.7881997501069,10.0521677699477,11.019659779065,10.5921451335099,11.6641544120368,9.97891502657073,10.7468614506797,10.7787293661104
"PA0186",10.9959201006931,9.82612237775582,12.1064818592706,10.3468554150357,12.0815208324707,9.92583060217586,11.359539908297,11.0779700282434
"PA0189",10.7186860242638,10.4195576339726,10.870169680322,10.5904156297,11.2360636319403,10.5139255912316,10.5219128371279,10.5335361557707
"PA0190",10.8398774926666,10.0635089725642,11.4285008988437,10.529441047598,11.2682629766677,9.89572262589473,10.6910398535621,10.6164523524618
"PA0191",13.5090447332698,11.4806156800149,15.2119046283552,12.1264043030734,14.8314190366767,11.1236943944435,14.1148562172272,13.9246375670324
"PA0192",11.4181894656367,10.5612849348081,11.8682407136276,11.1130813160623,12.1770285737401,10.9641801792181,11.2303563606552,11.4270713834751
"PA0193",10.1750843503802,9.22052710613483,10.5710670502877,9.79136609721588,10.8427908525888,9.75745949354378,10.0125098984972,10.0976263317706
"PA0194",10.0329943835007,9.62070069173405,10.3433377866563,9.8888898993567,10.769385269747,9.71593843946201,9.96714126278814,10.0481701491831
