"Locus_Tag","Gene_Name","logFC","AveExpr","P.Value","adj.P.Val","B"
"PA5470",NA,3.39752544754496,9.02461591331417,8.64442984365319e-08,0.00011213643801674,8.52225029547945
"PA5471","armZ",2.87407978473573,10.6173708440565,2.46525259008442e-08,0.00011213643801674,9.55759664635616
"PA3743","trmD",2.48223134129162,11.0116927230166,9.50308796752032e-08,0.00011213643801674,8.44107402951717
"PA2482",NA,2.19311878344801,9.41143225070086,9.35658559811625e-08,0.00011213643801674,8.45441900058985
"PA2744","thrS",1.70272638474004,10.1956748550664,5.60849956542468e-08,0.00011213643801674,8.88787216079773
"PA2971",NA,2.11589468660825,11.0072418495481,1.96331193765493e-07,0.000193059007202735,7.80621983251082
"PA3731",NA,2.44160451223707,10.8888084055473,2.68341127482152e-07,0.000197901581518087,7.52618620963289
"PA2970","rpmF",1.84738948538849,10.214646202619,2.48532844994465e-07,0.000197901581518087,7.59526663247953
"PA4566","obg",3.12066391152362,10.4058542963851,3.37077813644581e-07,0.000220973233389225,7.31942229325342
"PA1180","phoQ",3.0727573249692,10.6352838139959,5.23623604378896e-07,0.00024708041820396,6.91469973258979
"PA1181",NA,2.04449244072979,10.2859128480858,5.01218408064505e-07,0.00024708041820396,6.95518932169679
"PA1345",NA,1.65127961153799,8.12661704517462,5.44414480788386e-07,0.00024708041820396,6.87859286918151
"PA4743","rbfA",1.41265213889902,9.12919759676951,5.00019869698828e-07,0.00024708041820396,6.95740406255647
"PA0610","prtN",3.06346849395911,10.8586702563797,6.72496381066543e-07,0.000283409189163758,6.68177379039154
"PA3720",NA,3.45852454579336,9.70921547864945,7.79497653904761e-07,0.000306602410535873,6.54335448474479
"PA3744","rimM",2.38186870404245,11.022026870576,8.32586897161074e-07,0.000307016418328146,6.48136007194524
"PA2741","rplT",1.92505140785761,11.1615664429097,1.22127960465458e-06,0.000423855862791882,6.11820633088107
"PA4568","rplU",2.03018226289567,11.9722040880648,1.48106970954679e-06,0.000485461738129225,5.93372909842406
"PA4565","proB",2.43167594409443,10.3596424684438,1.74207536073744e-06,0.000489440220397663,5.77765312914715
"PA4567","rpmA",1.84334797067291,12.0054441277105,1.64179466333185e-06,0.000489440220397663,5.83474783825184
"ig_370",NA,1.54729671630439,10.0992673736669,1.6922850790253e-06,0.000489440220397663,5.80559038278903
"PA2899","atvR",1.41104351374439,10.462972832013,2.19165266642587e-06,0.00058776139690512,5.5556593240556
"PA0579","rpsU",2.00147118609118,10.9223917780795,2.99764436013571e-06,0.000711173693712195,5.25060713128546
"PA4564",NA,1.41729445247067,8.16536582674202,2.80768428552668e-06,0.000711173693712195,5.31458240156163
"PA3575",NA,1.16399529921083,8.89614004643614,3.01344785471269e-06,0.000711173693712195,5.24546418412881
"PA3732",NA,2.54642767086195,9.97330787640543,3.50604481475942e-06,0.000795602477195407,5.0970872035766
"PA3718",NA,2.21165996782095,9.07661436931465,3.76058713091557e-06,0.000821757928607477,5.02821520590681
"PA2975","rluC",1.58855448048194,9.990959072192,3.9789683505811e-06,0.000838425473872445,4.97266176879703
"ig_111",NA,2.50414340534236,8.74304092666732,4.15006609366169e-06,0.000844323791469103,4.93117863504242
"PA4918","pcnA",2.72421585859443,10.7271202968033,4.5837725751306e-06,0.000865764480751086,4.83307957162782
"PA3745","rpsP",2.59787373540984,11.1204489536067,4.69567176000589e-06,0.000865764480751086,4.80924221800141
"PA3729",NA,1.55705291522132,10.0054720515349,4.68970857338439e-06,0.000865764480751086,4.81049845420314
"PA3306",NA,1.84643062516319,11.5016479286422,5.01099846339935e-06,0.00089590578588049,4.74494198903547
"PA0577","dnaG",1.92618191859531,10.2441958494067,5.29963007073427e-06,0.000919641688745064,4.68946308532217
"PA1343",NA,2.86864921757925,10.8046197963398,5.99524192114079e-06,0.00101062649527802,4.56704570944501
"PA0729","pfiT",2.73144380585066,10.3503274494118,6.34647966311463e-06,0.00104011750034379,4.51042317431162
"PA0578",NA,1.92121228301453,10.9962734034201,6.59336662822806e-06,0.00105137467855529,4.47243023095683
"PA0612","ptrB",3.14890428972901,10.5375717921205,7.11254313423359e-06,0.00110431590768364,4.39688457443875
"PA0921",NA,2.36175419926115,9.04075056400897,8.83614368424066e-06,0.00132155344127373,4.17997063200615
"PA3615",NA,-1.01793140404357,8.77731321687715,8.95968434761853e-06,0.00132155344127373,4.16605962541674
"PA3719","armR",3.19760089868717,9.98191458714479,1.02763592594735e-05,0.00137533624786245,4.02848918930161
"PA1344",NA,2.72291327225909,10.1316736957813,1.06871991119132e-05,0.00137533624786245,3.98909242883461
"PA2840",NA,2.25670576451893,11.4616183188064,1.05174841410006e-05,0.00137533624786245,4.00518359928263
"PA3655","tsf",1.51911443282299,10.640312854997,9.81324737227183e-06,0.00137533624786245,4.07479609577523
"PA0124",NA,1.45167254111581,9.37104332129655,9.861081902844e-06,0.00137533624786245,4.06991486114999
"PA5465",NA,1.07443447121248,10.1867694522595,1.07229605765547e-05,0.00137533624786245,3.98573379394746
"PA4748","tpiA",2.43245276750526,9.34797110505389,1.20842035990046e-05,0.00145503675988015,3.86544346208156
"PA1031",NA,2.29966500145998,9.58528478823082,1.20255254985562e-05,0.00145503675988015,3.87034779546002
"PA1894",NA,-1.46786716201711,9.40481829597992,1.18238239909471e-05,0.00145503675988015,3.88738720204111
"PA3716",NA,0.793412814721508,8.95900202045573,1.27829526027871e-05,0.00150838840712887,3.80877539035892
"PA3006","psrA",1.77743993740308,10.0566973138968,1.3050473761987e-05,0.00150976069011222,3.78788182346143
"PA2968","fabD",1.24575723740475,8.34098697297349,1.42895975284843e-05,0.00162131971957803,3.69629143847093
"PA1300","hxuI",1.86644957144677,9.58179866203226,1.47108017257599e-05,0.00163761755060346,3.66692861058192
"PA5239","rho",1.42720539422818,9.55625198071183,1.74424680301268e-05,0.00190575113662496,3.49448615132198
"PA5462",NA,0.715422269542126,8.51390832950347,1.82906490972247e-05,0.00196208781224774,3.44632964656515
"PA3617","recA",1.86720846496754,11.4880393457984,1.94992808180922e-05,0.00205438851476328,3.38137635910803
