"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PA5471_at",2.87407978473573,10.6173708440565,18.9628188885926,2.46525259008442e-08,0.00011213643801674,9.55759664635616
"PA2744_thrS_at",1.70272638474004,10.1956748550664,17.2006592291255,5.60849956542468e-08,0.00011213643801674,8.88787216079773
"PA5470_at",3.39752544754496,9.02461591331417,16.3368460971351,8.64442984365319e-08,0.00011213643801674,8.52225029547945
"PA2482_at",2.19311878344801,9.41143225070086,16.1832852900402,9.35658559811625e-08,0.00011213643801674,8.45441900058985
"PA3743_trmD_at",2.48223134129162,11.0116927230166,16.153308799522,9.50308796752032e-08,0.00011213643801674,8.44107402951717
"PA2971_at",2.11589468660825,11.0072418495481,14.8099651281056,1.96331193765493e-07,0.000193059007202735,7.80621983251082
"PA2970_rpmF_at",1.84738948538849,10.214646202619,14.3964358446901,2.48532844994465e-07,0.000197901581518087,7.59526663247953
"PA3731_at",2.44160451223707,10.8888084055473,14.2642650511868,2.68341127482152e-07,0.000197901581518087,7.52618620963289
"PA4566_obg_at",3.12066391152362,10.4058542963851,13.8778025797081,3.37077813644581e-07,0.000220973233389225,7.31942229325342
"PA4743_rbfA_at",1.41265213889902,9.12919759676951,13.2322491365584,5.00019869698828e-07,0.00024708041820396,6.95740406255647
"PA1181_at",2.04449244072979,10.2859128480858,13.2284153989516,5.01218408064505e-07,0.00024708041820396,6.95518932169679
"PA1180_phoQ_at",3.0727573249692,10.6352838139959,13.1585664409495,5.23623604378896e-07,0.00024708041820396,6.91469973258979
"PA1345_at",1.65127961153799,8.12661704517462,13.096657645652,5.44414480788386e-07,0.00024708041820396,6.87859286918151
"PA0610_prtN_at",3.06346849395911,10.8586702563797,12.7653338192361,6.72496381066543e-07,0.000283409189163758,6.68177379039154
"PA3720_at",3.45852454579336,9.70921547864945,12.5383403903786,7.79497653904761e-07,0.000306602410535873,6.54335448474479
"PA3744_rimM_at",2.38186870404245,11.022026870576,12.4382339714422,8.32586897161074e-07,0.000307016418328146,6.48136007194524
"PA2741_rplT_at",1.92505140785761,11.1615664429097,11.8702991612643,1.22127960465458e-06,0.000423855862791882,6.11820633088107
"PA4568_rplU_at",2.03018226289567,11.9722040880648,11.5932955673845,1.48106970954679e-06,0.000485461738129225,5.93372909842406
"PA4567_rpmA_at",1.84334797067291,12.0054441277105,11.4477002197055,1.64179466333185e-06,0.000489440220397663,5.83474783825184
"ig_3705889_3705160_at",1.54729671630439,10.0992673736669,11.4052051223795,1.6922850790253e-06,0.000489440220397663,5.80559038278903
"PA4565_proB_at",2.43167594409443,10.3596424684438,11.3646544339518,1.74207536073744e-06,0.000489440220397663,5.77765312914715
"PA2899_at",1.41104351374439,10.462972832013,11.048084592408,2.19165266642587e-06,0.00058776139690512,5.5556593240556
"PA4564_at",1.41729445247067,8.16536582674202,10.7152556633462,2.80768428552668e-06,0.000711173693712195,5.31458240156163
"PA0579_rpsU_at",2.00147118609118,10.9223917780795,10.6287716955819,2.99764436013571e-06,0.000711173693712195,5.25060713128546
"PA3575_at",1.16399529921083,8.89614004643614,10.6218520218614,3.01344785471269e-06,0.000711173693712195,5.24546418412881
"PA3732_at",2.54642767086195,9.97330787640543,10.4242799175741,3.50604481475942e-06,0.000795602477195407,5.0970872035766
"PA3718_at",2.21165996782095,9.07661436931465,10.3339071253624,3.76058713091557e-06,0.000821757928607477,5.02821520590681
"PA2975_rluC_at",1.58855448048194,9.990959072192,10.2616148486463,3.9789683505811e-06,0.000838425473872445,4.97266176879703
"ig_1117390_1118158_at",2.50414340534236,8.74304092666732,10.2079799884834,4.15006609366169e-06,0.000844323791469103,4.93117863504242
"PA4918_at",2.72421585859443,10.7271202968033,10.0823103904948,4.5837725751306e-06,0.000865764480751086,4.83307957162782
"PA3729_at",1.55705291522132,10.0054720515349,10.0536122150742,4.68970857338439e-06,0.000865764480751086,4.81049845420314
"PA3745_rpsP_at",2.59787373540984,11.1204489536067,10.0520181716799,4.69567176000589e-06,0.000865764480751086,4.80924221800141
"PA3306_at",1.84643062516319,11.5016479286422,9.97077675693655,5.01099846339935e-06,0.00089590578588049,4.74494198903547
