"","GSM1608067_Biofilm+12hrcipro_rep1","GSM1608068_Biofilm+12hrcipro_rep2","GSM1608069_Biofilm+12hrcipro_rep3","GSM1608070_Biofilm+12hrtobra_rep1","GSM1608071_Biofilm+12hrtobra_rep2","GSM1608072_Biofilm+12hrtobra_rep3","GSM551150","GSM551151","GSM551152"
"AFFX-Athal_actin_at",6.40839721723699,6.34020978226771,6.2761931287963,6.38231667877347,6.28935573790666,6.24744779082402,6.37994493361011,6.31126849783746,6.28043762421528
"AFFX-Athal_GAPDH_at",6.35857996833147,6.32248264067853,6.257912483121,6.30981022730726,6.2958565552125,6.24804906584938,6.35882274258018,6.29015926029099,6.26089304510611
"AFFX-Athal_ubq_at",6.4083402163855,6.36290441229423,6.26451071575228,6.33473247913901,6.30058599904438,6.25719802845801,6.37339356875984,6.29890820616686,6.27168145532607
"AFFX-Bsubtilis_dapB_at",11.6863789872987,11.9009234134293,10.7042761312128,10.9032634338725,10.4191892433635,11.3158904329323,11.5361294096329,11.4800913164194,11.5828251325972
"AFFX-Bsubtilis_lys_at",6.57648153333575,6.46434999965052,6.33230499205396,6.42620901875614,6.33365561158176,6.36723195147739,6.44187720836604,6.39338390242436,6.48802231340344
"AFFX-Bsubtilis_pheB_at",8.19104405177268,8.54043132751532,7.31397567432578,7.40141153249755,7.21321504388416,7.57015328673037,7.3858415203393,7.53405665676487,7.9050426709405
"AFFX-Bsubtilis_thrC_at",9.10607493964018,9.61453854804173,8.7230150200232,8.76335356582534,7.94798665284853,8.63941242600003,8.94015802121353,8.83990313924778,9.18096655171686
"AFFX-Bsubtilis_trpD_at",6.38694760288567,6.3695797202187,6.29964771496179,6.34138648713538,6.31668597317241,6.2733638097037,6.36348996997773,6.31365259586198,6.30441078705134
"AFFX-YEL002C_WPB1_at",6.35283831284305,6.30112664283179,6.2742258161392,6.30266845238743,6.25790875996733,6.23501532297618,6.31720691732739,6.26269339256512,6.23237278277115
"AFFX-YEL018W_at",6.30632267862329,6.29085009515778,6.22703265602206,6.31288007476164,6.25231817102244,6.2554411242402,6.29767083171212,6.26304585119978,6.25540584711349
"AFFX-YEL024W_RIP1_at",6.36251877032674,6.32249651416075,6.2675225722532,6.33240208239782,6.28097617276775,6.25982473391624,6.35678750162528,6.27658444985712,6.27049259564141
"AFFX-YER022W_SRB4_at",6.31881726644295,6.3078172141491,6.24042632610189,6.28669452377416,6.26806047042407,6.24662016327469,6.31301096120708,6.26365964842815,6.24294945223449
"AFFX-YER148W_SPT15_at",6.33694661639797,6.33924643685061,6.28264000245033,6.29164230416317,6.302673096977,6.28045943906002,6.31777074238359,6.28996219603998,6.2847846230326
"AFFX-YFL039C_ACT1_at",6.38511834421115,6.35649006643166,6.26629596887295,6.35702523033673,6.29772265347365,6.25309192238548,6.39970405367133,6.29226862299655,6.30566821882188
"ig_1046911_1047549_at",7.67889420406098,7.56649873181281,7.60601994552472,7.64027601124921,7.51237767774984,7.65246528965764,7.93894211674046,7.63745893110904,7.89227593476069
"ig_1047549_1046911_at",8.12023188932561,8.3686598642558,8.28156099538259,8.1478976263795,8.32369001697971,8.21231601046292,8.05476836991665,7.91463692172893,7.98378642766587
"ig_1063544_1064555_at",7.88057935051458,7.73165599852435,7.66783837691964,8.33429919719817,7.90330929423638,8.20286727543329,8.68404495687478,7.77272354084807,7.97984122118395
"ig_1064555_1063544_at",6.62757181181413,6.75163279742536,6.85726426445039,6.6274523931139,6.74344394672376,6.75163279742536,6.83541775695842,6.76898041255082,6.78696329968067
"ig_1087095_1087843_at",7.44120423164194,7.23098600480635,7.2815697979872,7.38813587965231,7.34249730419181,7.47718828121438,7.70589234761041,7.35925560973261,7.60621879036475
"ig_1087843_1087095_at",7.72213303340991,7.77366209271572,7.78363356104004,7.64528630533037,7.70119921051396,7.71748111802112,7.97146531488325,7.72213303340991,7.72213303340991
"ig_1117390_1118158_at",8.37661215837395,8.57743637600196,7.67794235017772,10.6136822598145,10.0698668008889,10.1003547750362,7.87760748885107,7.54091543345464,7.85295069740687
"ig_1118158_1117390_at",7.74688787115155,7.24391724656209,8.02276453627442,8.00729994249846,8.06298971033309,8.14805338675902,7.81749939931725,7.68474989085212,7.88746547815728
"ig_1204781_1205771_at",8.61101952552839,8.54478216749074,8.65526980339269,8.51593099634112,8.57717361079445,8.61373840691063,8.82184697224417,8.55929729141988,8.80640636007513
"ig_1205771_1204781_at",9.24082179506787,9.86617150155972,9.95691351088125,9.60504805591077,10.3966894219005,9.77573226980105,9.07678589448322,9.37187421399858,9.09029303202071
"ig_1246788_1247932_at",6.64892134603425,6.66234744376869,6.64869766184915,6.74911885934367,6.62805400205958,6.77626301351312,6.66790131357137,6.59369720675868,6.70169532265522
"ig_1247932_1246788_at",6.44244960917596,6.39627419920565,6.52922462478011,6.4133415473545,6.41144151874175,6.58758980813891,6.45987452345386,6.44485786490419,6.52889739280864
"ig_1254309_1255042_at",7.45599135218267,7.57206651696852,7.3973437388431,7.34982238280585,7.31576766694127,7.37644044929309,7.37471569483005,7.24244024208894,7.41278307141605
"ig_1255042_1254309_at",10.7869056318314,10.5364044131786,9.79276965655438,8.75007577781749,9.0803733779264,9.08198800719719,8.83788839430787,8.70739532245335,9.03856654362244
"ig_1324109_1324793_at",6.77265790790303,6.72375049312216,6.82877148724195,6.77869896181081,6.71880876621529,6.85343197119954,6.95746544865361,6.72534370535721,6.87066627653006
"ig_1324793_1324109_at",6.99773293977007,6.96758185622544,7.10248562827534,6.81812893079176,7.00199903417792,7.08576314327254,7.01169787855392,7.00210453721136,7.15321720238725
"ig_1348401_1349416_at",7.25682738970384,7.24483670931402,7.21647274567374,7.25485828122667,7.08105045567501,7.27127622553895,7.50950772668157,7.25485828122667,7.45057407580582
"ig_1349416_1348401_at",7.71274157565008,7.71274157565008,7.71711445860158,7.10452926995632,7.45121839567862,7.69914676935055,7.86472059784111,7.90039290333332,7.82918140179301
"ig_1427453_1428080_at",7.01692501951228,7.01271266725993,6.92383389642768,7.24028992159273,7.01271266725993,7.06437418303192,7.03286462868312,6.89516649326365,6.97374748861653
"ig_1428080_1427453_at",7.41700554700581,7.18741100213326,7.30186627664218,7.38353620656487,7.36738411022829,7.37622429039464,7.44272041145224,7.38014022270484,7.62461044188459
"ig_1489095_1489815_at",7.55619518582744,7.38315886953169,7.58814470686241,7.73237663062214,7.56863720614963,7.98832815737091,7.57257798729552,7.54926965347744,7.74464619495789
"ig_1489815_1489095_at",7.18044563626878,7.17215918259241,7.07645495987551,7.17771270120075,7.18044563626878,7.31285557205791,7.39137416984078,7.1736815809359,7.48849404524888
"ig_1553675_1554415_at",8.76117686148447,8.41542723892456,8.68518975457853,8.80518245434621,8.68518975457853,8.87772944930399,8.67675418761563,8.68518975457853,8.76387432999066
"ig_1554415_1553675_at",8.88431305787095,8.63260892200318,9.01603240352808,8.55151925548063,8.81076003779468,8.94805415317341,8.87898366004302,8.87716997787436,9.08189611824898
"ig_1637696_1638379_at",7.17165951670618,7.11037365828361,7.20110218913344,7.18039644165039,7.18030775191638,7.17998841417125,7.36404541953993,7.17691608288872,7.32090096458259
"ig_1638379_1637696_at",6.76267736222397,6.79147804318408,6.89127514314627,7.06945818195201,6.91382912958065,6.98158600863369,6.98537072881877,6.85572020903622,7.02518560695711
"ig_1802453_1803626_at",6.64215993697471,6.5118673604365,6.60839865147803,6.63665293931064,6.53208014347751,6.64263072235391,6.69888039342271,6.58146214384848,6.65269587737239
"ig_1803626_1802453_at",7.1375052187443,7.03825792491656,7.14534347414556,7.09279594029239,7.08791719761108,7.24559293672805,7.27403681411211,7.14534347414556,7.24343457123778
"ig_188448_189120_at",7.5610327989115,7.57566963002576,7.74386966046294,7.52498099402691,7.49830706829059,7.75323448121997,7.70127589093238,7.67880036148286,7.58740089496748
"ig_189120_188448_at",8.00669031438249,7.70201454499548,8.13162808548197,7.69387932567858,7.69625743727937,7.9195198967113,8.35626202234744,7.98435575279892,8.04095980405393
"ig_1947041_1948502_at",8.37286198766386,8.8303320612686,8.0696296607566,9.42038539381898,8.43326796219913,8.76745734702504,8.10205987700434,7.75562749724878,8.20816743060227
"ig_1948502_1947041_at",7.28959004997719,7.14949015835103,7.28657142772057,7.19748041689026,7.23469467443828,7.34406196998249,7.3886192893033,7.28959004997719,7.36792666448564
"ig_1996806_1997509_at",7.84242240855381,9.11967112696582,8.24717264071927,8.56725770269819,8.57412725075062,8.24096606547246,8.77911313982541,8.63980075108262,8.67674217833132
"ig_1997509_1996806_at",7.21513222426411,7.9978744563559,7.11902930093484,7.08284760447605,7.01681028922439,7.0914754293736,7.5070248275012,7.21513222426411,7.37286348970887
"ig_2068728_2069490_at",7.21370917894528,7.38356741022343,7.08786911298883,7.23866700220756,7.13075618157125,7.23078495984242,7.21041525089328,6.99881025119281,7.25114092334206
"ig_2069490_2068728_at",8.00114904153353,7.96867468003872,7.99258602758972,7.48346428255188,7.92406084565917,7.9493645065724,8.20784273075468,7.96626809194543,8.11450446869683
"ig_2116265_2117030_at",6.68367126010225,6.71665335081845,6.90106424262635,6.71604858952023,6.74532055506125,6.87128133365684,6.82224312999862,6.7278944683401,6.90090971949624
"ig_2117030_2116265_at",7.10028295293109,7.08075078929729,7.04017150129157,7.35646628683647,7.12926201292223,7.07228814190163,7.28778823000548,7.0401780331472,7.10676101097622
"ig_2164548_2165213_at",7.29123453793346,7.51215711613342,7.25587795148038,7.15153694447162,7.0602783324005,7.0114603463067,7.272090996885,7.37291984150156,7.32309748346887
"ig_2165213_2164548_at",8.29738098923888,8.11724151061919,8.11730850440322,7.92836705895003,8.05489410853085,8.27235514662565,8.30325265395345,8.36074728836961,8.59006218211117
"ig_2226144_2226879_at",6.58093347378782,6.480179731733,6.58434257915373,6.58084602947751,6.40293545175761,6.71623709037188,6.88200640367659,6.52288968188081,6.69969397562194
"ig_2226879_2226144_at",6.70583222169629,6.40563523628359,6.82936087585362,6.66925680504077,6.60161779997211,6.88115995907914,7.16161442050562,6.66243797243989,7.0747264760866
"ig_223454_224101_at",7.05917609329895,7.3651786789522,7.35792198509688,6.99388077495242,7.18120861952064,7.35792198509688,7.36312003762241,7.60787397033498,7.55187830686792
"ig_2239267_2240302_at",7.5982580842031,7.00937213099309,7.04592331743844,7.22546624085687,6.89359976236066,7.16383902835189,7.5117228945975,7.0355972240026,7.31327410022057
"ig_2240302_2239267_at",7.28590825916913,7.10215410488917,7.18930431382953,7.64108006982963,7.16822112433517,7.25298548729462,7.37195968792988,7.00290339301338,7.2479819752419
"ig_224101_223454_at",6.75831845810721,6.71242513403555,6.75504262319741,6.7310872631031,6.77485408656187,6.83139411800232,6.84441691631065,6.78071518381288,7.29344536842123
"ig_2243603_2244492_at",7.48472892622099,7.18905551421789,7.45624621438251,7.28415266143078,7.17557623484278,7.41016194316471,7.47341036926766,7.22377726313632,7.45522254833236
"ig_2244492_2243603_at",8.63807378779214,8.04529001986131,8.42162251255522,8.36439282998655,8.00087235926369,8.43371843283956,8.66573153028508,8.22090968717533,8.49338973467496
"ig_2250595_2251275_at",7.82021413458919,7.05123693785418,8.17865815137428,8.12004516037732,7.73351233013635,8.3764167229439,7.8738112247114,7.70214083388564,7.87135518142365
"ig_2251275_2250595_at",7.61002703906597,7.18265624474126,7.67009570599931,7.28755427236999,7.23705154098651,7.36475977722864,7.55694982984199,7.20757173046839,7.37466477391625
"ig_2281578_2282480_at",7.39135847560852,7.05163204192144,7.23055594025855,7.19427895387216,6.83481516962108,7.19506200308121,7.49334601607662,7.04239992467491,7.42926215426986
"ig_2282480_2281578_at",7.34106679490967,6.91512661136814,7.08832674025295,7.12429318036412,6.77464931917081,7.20011303814328,7.60671018277713,6.95834537096916,7.64984230416512
"ig_2341640_2342493_at",7.5537402413612,7.04740353306989,7.50839042995324,7.44268310766055,7.18520485178331,7.85523439095225,8.15835530427789,7.39894021913866,7.8735792089041
"ig_2342493_2341640_at",7.23937471458959,7.0850296962953,7.26979776274506,7.25284109730723,7.15495701191945,7.48763727641008,7.34271415783859,7.15733431558014,7.37929103496111
"ig_2450765_2451707_at",6.4261207933743,6.34754141901599,6.46365136139395,6.34346102641423,6.37647182159414,6.47370533286104,6.40897880832053,6.39998727920455,6.4559260629434
"ig_2451707_2450765_at",6.58955058116748,6.56043144880114,6.64708651414669,6.57752706551334,6.56527118625487,6.68040403700841,6.66651836623159,6.55788717980438,6.66985117020219
"ig_2557964_2558918_s_at",10.9116845199797,10.4892503707136,11.7464686865046,11.0037994672594,10.9795860489948,11.5490311378593,11.3295427309806,11.5333705404872,11.5843884750989
"ig_2558918_2557964_s_at",10.0883353142911,9.05423811982864,11.1790824082584,9.93173770975733,10.0608496691772,10.6049106837175,10.8293884865761,10.6417449924086,10.6760610487352
"ig_2568284_2568929_at",7.32405158338209,6.94366801231852,7.21604319610565,7.00123799045464,6.94579592445857,7.30599601808373,7.49350959082458,7.19650774263282,7.32892421648523
"ig_2568929_2568284_at",6.61826558427621,6.61826558427621,6.66993092163229,6.61790886303454,6.59857290779949,6.61712052818659,6.61174688463844,6.55232982734847,6.66256457530281
"ig_2721530_2722174_at",6.60293955848258,6.57264840537164,6.69885406764291,6.57766634548794,6.57896463813291,6.6366943527798,6.58472719568353,6.58472719568353,6.58472719568353
"ig_2722174_2721530_at",6.94837671517235,6.72873083429916,6.89809144975222,6.89809144975222,6.92440503207913,6.99235558531428,7.029815963035,6.845478759664,7.12155651011495
"ig_2737193_2737881_at",7.12622236088339,6.63628734349718,7.2867286038958,7.08538150339957,7.09819048639482,7.66260201382796,7.24453233346267,7.1904935975798,7.41384074995567
"ig_2737881_2737193_at",6.99672173825112,6.85011207554303,6.80370618071488,6.99677504406587,6.84056665572264,6.96973026466358,7.12769631778501,6.92886773390683,7.10971558026001
"ig_2893827_2894451_at",8.52552128450803,9.14824740223969,8.67629370132932,8.73454521325253,8.96752215905265,8.7961483979953,8.54708215779565,8.50405783927433,8.50759975957105
"ig_2894451_2893827_at",9.13228641868737,9.2718524716667,9.06819609454196,10.075225458793,9.23640955623554,9.48359173977035,8.95623414546458,8.43293835149548,8.81908620967646
"ig_2901558_2902217_at",7.52306186476205,7.36330503436088,7.30533512616904,7.32601487580164,7.27669775797516,7.25169115851629,7.57154664576434,7.32940941418939,7.32988793972754
"ig_2902217_2901558_at",7.06380933040148,6.88629856256587,7.14048611553673,7.2157891947965,7.14092542888572,7.29861821520192,7.31628536314795,7.17564553681155,7.3085603265264
"ig_2905549_2906165_at",6.63698850554079,6.69407493816051,6.62232813083009,6.59215720521167,6.56627000279404,6.65173797107093,6.95599406378351,6.61032131210657,6.7666778995108
"ig_2906165_2905549_at",7.48649942553157,7.6169274276272,7.1298643329393,7.45858030791442,7.31137000342805,7.37542241246255,7.45967444390912,7.31376983116699,7.36278939844012
"ig_2918211_2918966_at",6.79166476095553,6.7968285224396,6.79719925151017,6.82974198132175,6.79166476095553,6.80080701476482,6.86486508865651,6.77967581160104,6.76885596386402
"ig_2918966_2918211_at",7.96295803502924,7.75680741918332,7.65768963594087,7.62995536358937,7.41818232284127,7.7276117784954,7.86813391470264,7.48868897841003,7.85130786523144
"ig_2922568_2923366_at",6.92032822524456,6.75811894983881,6.75002190072808,6.83466427463803,6.71598281476497,6.84534129629408,6.95117567115473,6.80303215031189,7.11786580616605
"ig_2923366_2922568_at",7.24893500350044,7.30032179820701,7.1017333717882,7.57867095336642,7.10824985920502,7.12502533266895,7.0198688468206,6.76555107582897,6.82094743686623
"ig_2927920_2928538_at",7.04821715638311,6.98324289775838,7.1236622967701,6.84577143614669,7.03594590861504,7.00994664129719,7.20333782979228,7.04821715638311,7.34920846371802
"ig_2928538_2927920_at",7.1990284282631,7.17481856395111,7.17955832969191,7.18237906820176,7.02253687760377,7.03913005689173,7.3118213605781,7.08914140636925,7.18237906820176
"ig_297561_299081_at",6.66076624457231,6.61963415438388,6.71843038871036,6.71648197604301,6.70093594922405,6.79295046746605,6.80023572097887,6.71648197604301,6.85042439679294
"ig_299081_297561_at",6.96620318108639,6.90786963788094,6.95638011659829,6.95638011659829,6.82551546285897,7.00997876246205,7.22695827364012,6.93884484090587,7.11434573821538
"ig_3051348_3051956_at",8.5599611689065,8.15070240790366,9.48555730735814,8.35112809857904,8.73019926776223,8.83454653296695,8.93495599320664,9.07938752090698,8.74300801464479
"ig_3051956_3051348_at",7.7426083073355,7.51797069806785,7.71204245514483,7.66130557724188,7.52245314727462,7.92292679699267,8.211949275527,7.67468600267363,7.76247295990243
"ig_3087490_3088659_at",6.71373423050475,6.67849647295136,6.78336916309796,6.66827037111365,6.70678017142428,6.78672257686539,6.73993084465079,6.70206036215753,6.7892379398191
"ig_3088659_3087490_at",6.91368532771048,6.7761423854981,6.99433481448449,6.90888596191629,6.75702993539063,7.1582700418385,7.06771490912739,6.92704108406789,6.9714786047552
"ig_3112150_3112877_at",9.48716917649203,8.61960492109849,9.25295057815532,9.15697225654878,8.95391372343878,9.56823200618682,9.38335437387402,9.09812716703567,9.39299350098627
"ig_3112877_3112150_at",8.338592962616,8.68952810515628,8.59530272973824,8.82555894461168,8.60216941356719,8.75383084499741,8.29380881724371,8.3107738499164,8.40961518502173
"ig_3115632_3116653_at",7.56151933879083,7.44755502701573,7.71309702718898,7.52632668865552,7.54093482284367,7.57448312331644,7.56151933879083,7.56151933879083,7.56357330484437
"ig_3116653_3115632_at",8.81089368601132,8.3449204782458,8.78490440269216,8.78490440269216,8.61403782648299,8.81099952483616,9.25747091635113,8.74704403012625,8.83700156965883
"ig_3122585_3123598_at",7.46280589969982,7.18693809124115,7.93913350999523,7.37186374944167,7.42313998749759,7.60679618150706,7.5360747226481,7.44096596302044,7.49921190822451
"ig_3123598_3122585_at",7.93707400159286,7.93707400159286,7.93707400159286,8.14342106322626,7.90093590695319,7.9944908520187,7.93762843656738,7.793182268543,7.88586139747651
"ig_3129070_3129728_at",8.74886988996505,8.00978271575,8.79000061264107,8.36943075774779,8.4042740719307,8.91661862190066,8.9757273300181,8.6936549843813,8.95262949192436
"ig_3129728_3129070_at",9.272976179759,9.42177698158624,9.50339006663432,9.07544577482882,9.23052641003067,9.43338937420511,8.77140807826198,8.55895656957512,8.37443621948423
"ig_3206252_3206914_at",9.16853294715896,8.706788467728,9.26925926575811,8.95813589459561,8.90026408322657,9.46634371502893,10.0299687152268,9.11458338854593,9.61049075346743
"ig_3206914_3206252_at",7.4896967300073,7.30213871087043,7.49218177338447,7.53202902852756,7.3036748531862,7.4896967300073,7.67064562690333,7.42350931529785,7.48973128254873
"ig_3265210_3265847_at",7.66863733733917,7.32757141073528,7.77722064430777,8.021564852685,7.59707105949367,8.01010264270728,7.67067354272636,7.67067354272636,8.18127220036136
"ig_3265847_3265210_at",7.99444216973338,7.81176004100289,8.12363532851806,7.93107456215516,8.0064788190463,8.15471396105836,7.99444216973338,8.05459247098141,7.9028409537072
"ig_326671_327284_at",6.86984088088537,6.99575610441322,6.93867461208477,7.04862627991792,7.04862627991792,7.15495185984512,7.17707073992912,7.04862627991792,7.33617568357987
"ig_327284_326671_at",7.32158507082407,7.27942373541383,7.29468743332589,7.29124094814448,7.18816824702104,7.44879582217621,7.5677090706887,7.29070459473975,7.53265557870119
"ig_3475169_3475955_at",7.83214736008047,7.36938504033248,7.72571246577381,7.6759771681971,7.5870606487187,8.06504832899548,7.75431166935377,7.69313745414815,8.02870767107108
"ig_3475955_3475169_at",8.57443243169796,8.07670128116881,8.38374893368809,8.22951474514094,8.11842372297752,8.26221702913855,8.06570110758501,7.64080770761032,8.03350591428497
"ig_3514564_3515415_at",6.56218917736717,6.49929697673441,6.54766267002587,6.57329320524706,6.50605698337567,6.67121756937595,6.8168954575558,6.55044446751036,6.84694097576292
