"Gene","Locus_Tag","logFC","adj.P.Val"
"PA5470","PA5470",3.39752544754496,0.00011213643801674
"armZ","PA5471",2.87407978473573,0.00011213643801674
"trmD","PA3743",2.48223134129162,0.00011213643801674
"PA2482","PA2482",2.19311878344801,0.00011213643801674
"thrS","PA2744",1.70272638474004,0.00011213643801674
"PA2971","PA2971",2.11589468660825,0.000193059007202735
"PA3731","PA3731",2.44160451223707,0.000197901581518087
"rpmF","PA2970",1.84738948538849,0.000197901581518087
"obg","PA4566",3.12066391152362,0.000220973233389225
"phoQ","PA1180",3.0727573249692,0.00024708041820396
"PA1181","PA1181",2.04449244072979,0.00024708041820396
"PA1345","PA1345",1.65127961153799,0.00024708041820396
"rbfA","PA4743",1.41265213889902,0.00024708041820396
"prtN","PA0610",3.06346849395911,0.000283409189163758
"PA3720","PA3720",3.45852454579336,0.000306602410535873
"rimM","PA3744",2.38186870404245,0.000307016418328146
"rplT","PA2741",1.92505140785761,0.000423855862791882
"rplU","PA4568",2.03018226289567,0.000485461738129225
"proB","PA4565",2.43167594409443,0.000489440220397663
"rpmA","PA4567",1.84334797067291,0.000489440220397663
"ig_370","ig_370",1.54729671630439,0.000489440220397663
"atvR","PA2899",1.41104351374439,0.00058776139690512
"rpsU","PA0579",2.00147118609118,0.000711173693712195
"PA4564","PA4564",1.41729445247067,0.000711173693712195
"PA3575","PA3575",1.16399529921083,0.000711173693712195
"PA3732","PA3732",2.54642767086195,0.000795602477195407
"PA3718","PA3718",2.21165996782095,0.000821757928607477
"rluC","PA2975",1.58855448048194,0.000838425473872445
"ig_111","ig_111",2.50414340534236,0.000844323791469103
"pcnA","PA4918",2.72421585859443,0.000865764480751086
"rpsP","PA3745",2.59787373540984,0.000865764480751086
"PA3729","PA3729",1.55705291522132,0.000865764480751086
"PA3306","PA3306",1.84643062516319,0.00089590578588049
"dnaG","PA0577",1.92618191859531,0.000919641688745064
"PA1343","PA1343",2.86864921757925,0.00101062649527802
"pfiT","PA0729",2.73144380585066,0.00104011750034379
"PA0578","PA0578",1.92121228301453,0.00105137467855529
"ptrB","PA0612",3.14890428972901,0.00110431590768364
"PA0921","PA0921",2.36175419926115,0.00132155344127373
"PA3615","PA3615",-1.01793140404357,0.00132155344127373
"armR","PA3719",3.19760089868717,0.00137533624786245
"PA1344","PA1344",2.72291327225909,0.00137533624786245
"PA2840","PA2840",2.25670576451893,0.00137533624786245
"tsf","PA3655",1.51911443282299,0.00137533624786245
"PA0124","PA0124",1.45167254111581,0.00137533624786245
"PA5465","PA5465",1.07443447121248,0.00137533624786245
"tpiA","PA4748",2.43245276750526,0.00145503675988015
"PA1031","PA1031",2.29966500145998,0.00145503675988015
"PA1894","PA1894",-1.46786716201711,0.00145503675988015
"PA3716","PA3716",0.793412814721508,0.00150838840712887
"psrA","PA3006",1.77743993740308,0.00150976069011222
"fabD","PA2968",1.24575723740475,0.00162131971957803
"hxuI","PA1300",1.86644957144677,0.00163761755060346
"rho","PA5239",1.42720539422818,0.00190575113662496
"PA5462","PA5462",0.715422269542126,0.00196208781224774
"recA","PA3617",1.86720846496754,0.00205438851476328
"flgZ","PA3353",2.05039126926679,0.00209515874566828
"PA1291","PA1291",1.91437624278031,0.00232659391438912
"truB","PA4742",1.29133956958558,0.00237442342074006
"nusA","PA4745",1.67134709655422,0.0024303421674556
"PA2748","PA2748",1.3026795003255,0.0024303421674556
"PA0613","PA0613",1.98477092925581,0.00292512240248488
"hxuR","PA1301",1.42024679607203,0.00292512240248488
"PA1030","PA1030",2.787346372435,0.00321176351686759
"cmpX","PA1775",2.0227241915902,0.00321176351686759
"PA4852","PA4852",1.65485756179596,0.00321176351686759
"sigX","PA1776",1.63218110993592,0.00321176351686759
"PA1518","PA1518",1.26043588881214,0.00321176351686759
"argF","PA3537",1.00699242662153,0.00321176351686759
"PA0805","PA0805",3.6179076258149,0.00338814465606638
"PA3179","PA3179",1.62598538906519,0.00362437548002964
"ftsL","PA4419",1.2712179420127,0.00398638837825452
"PA4108","PA4108",-0.662832477994428,0.00410681278062281
"lexA","PA3007",2.05953257353689,0.00423713803728784
"sulA","PA3008",1.99193081116981,0.00423713803728784
"PA0713","PA0713",-1.75254403844213,0.00423713803728784
"PA4456","PA4456",1.72322420773285,0.00423713803728784
"PA4674","PA4674",1.42667702220941,0.00423713803728784
"PA0123","PA0123",1.40570165637112,0.00423713803728784
"PA2481","PA2481",1.33858391831714,0.00423713803728784
"ig_524","ig_524",1.59304777370377,0.00426794827487189
"mexX","PA2019",2.12428127322058,0.00471398944795912
"mexR","PA0424",1.61911442057052,0.00471398944795912
"bfiS","PA4197",1.49549223393867,0.00471398944795912
"PA0918","PA0918",-1.30577464461875,0.00471398944795912
"PA2781","PA2781",1.15793493009961,0.00471398944795912
"eco","PA2755",1.73680535294578,0.00487691953441463
"PA0125","PA0125",1.59255065824643,0.00487691953441463
"nuoH","PA2643",-0.858899962165728,0.00487694448519549
"hasI","PA3410",0.83632871403918,0.00495155115676702
"PA3730","PA3730",1.39706305220443,0.00503074186427307
"PA2973","PA2973",1.4051151861935,0.00530568392341861
