Top 50 in network network.tsv ranked by MCC method
Rank,Name,Score
1,rplU,2.301794253529445E21
2,rplT,2.3017942535294445E21
3,rpsB,2.301794253522727E21
4,rpsK,2.301794253513863E21
5,rplD,2.301794250739739E21
6,rpsL,2.3017942494217563E21
7,rplI,2.3017942480269033E21
8,rplS,2.301794227005431E21
9,rpmJ,2.301794224289488E21
10,rpsR,2.3017942007388955E21
11,rpmF,2.3017941994461096E21
11,rpsP,2.3017941994461096E21
13,rpsM,2.3017750463731028E21
14,rpsF,2.3017750171637E21
15,rpoB,2.3016726084160995E21
16,tsf,2.3016726084160913E21
17,rpmB,2.3016661519633332E21
18,rpsI,2.2993357392021128E21
19,rpsU,2.2993357153951311E21
20,rpmA,2.299233299947766E21
21,rimM,2.2504471623179884E21
22,rpoC,2.2504344076909142E21
23,rpmI,1.1752261197971414E21
24,trmD,1.1265681324049355E21
25,PA5470,5.109734586607702E19
26,atpG,2.4393071730723133E18
27,prs,1.28050090501133088E17
28,PA4463,1.21645106635933664E17
29,obg,1.9207148028727944E16
30,recA,2.7923014713081E13
31,atpD,2.651534154723E13
32,dnaG,4.09881705444E12
33,rpoD,2.789706044358E12
34,PA0614,1.307674368722E12
34,PA0633,1.307674368722E12
36,PA0621,1.307674368721E12
37,PA0627,1.30767436872E12
37,PA0629,1.30767436872E12
37,PA0636,1.30767436872E12
40,PA0634,1.307674368008E12
41,PA0622,1.307674368007E12
42,PA0638,1.307674368006E12
42,PA0620,1.307674368006E12
42,PA0628,1.307674368006E12
45,PA0635,1.307674368002E12
45,PA0641,1.307674368002E12
47,PA0624,1.307674368E12
47,PA0637,1.307674368E12
47,PA0618,1.307674368E12
50,tpiA,8.872421113E9
