Name,Score,Direction,Studies
PA5470,5.24E-06,Up,4
armZ,2.98E-05,Up,4
recA,3.60E-05,Up,4
lexA,4.21E-05,Up,4
sulA,5.71E-05,Up,4
rpmI,3.03E-04,Up,4
rpmB,3.91E-04,Up,4
PA3731,4.94E-04,Up,4
PA0805,5.98E-04,Up,4
PA3179,6.27E-04,Up,4
rplT,6.74E-04,Up,4
PA1440,8.10E-04,Up,4
PA0622,9.06E-04,Up,4
obg,9.50E-04,Up,4
tssB1,0.001109273,Up,4
rpmA,0.001233242,Up,4
mgtE,0.001251918,Up,4
ampC,0.0012749,Up,4
rplS,0.001341011,Up,4
PA2482,0.0015906,Up,4
PA3732,0.001774344,Up,4
PA0618,0.001811184,Up,4
prtN,0.001990322,Up,4
PA4111,0.002549394,Up,4
rpsL,0.002695496,Up,4
eco,0.002750786,Up,4
PA4325,0.002772505,Up,4
rimM,0.002918014,Up,4
PA3306,0.002927298,Up,4
PA0624,0.00317029,Up,4
magF,0.003187759,Up,4
trmD,0.003279529,Up,4
tagJ1,0.003397149,Up,4
rpsB,0.003444905,Up,4
Pae_tRNA,0.003487121,Up,3
PA3966,0.003532605,Up,4
dnaG,0.003548116,Up,4
PA5178,0.003695098,Up,4
PA1029,0.003724228,Up,3
PA2536,0.003825311,Up,4
PA0922,0.003910793,Up,4
PA0634,0.004076087,Up,4
rpsP,0.004191666,Up,4
rpoD,0.004352175,Up,4
vgrG4,0.004420294,Up,4
PA0637,0.004528986,Up,4
PA5491,0.004543805,Up,4
PA5446,0.004575785,Up,4
rplI,0.004589243,Up,4
tsf,0.004753528,Up,4
PA2225,0.004781639,Up,3
PA0329,0.004798095,Up,4
proA,0.004972229,Up,4
magD,0.005097163,Up,4
PA2840,0.00515833,Up,4
rpmF,0.005211791,Up,4
PA1299,0.00536449,Up,4
PA0124,0.005459717,Up,4
rplU,0.005674892,Up,4
tssF1,0.005907372,Up,4
prs,0.005966675,Up,4
qsrO,0.006056742,Up,3
