Name,Score
PA5470,5.24E-06
armZ,2.98E-05
recA,3.60E-05
lexA,4.21E-05
sulA,5.71E-05
rpmI,3.03E-04
rpmB,3.91E-04
PA3731,4.94E-04
PA0805,5.98E-04
PA3179,6.27E-04
rplT,6.74E-04
PA1440,8.10E-04
PA0622,9.06E-04
obg,9.50E-04
PA0613,9.55E-04
tssB1,0.001109273
rpmA,0.001233242
ptrB,0.001238136
mgtE,0.001251918
ampC,0.0012749
rplS,0.001341011
PA0617,0.001358696
PA2482,0.0015906
PA3732,0.001774344
PA0618,0.001811184
prtN,0.001990322
PA4111,0.002549394
rpsL,0.002695496
eco,0.002750786
PA4325,0.002772505
rimM,0.002918014
PA3306,0.002927298
PA0624,0.00317029
magF,0.003187759
hcp1,0.003249465
trmD,0.003279529
tagJ1,0.003397149
rpsB,0.003444905
Pae_tRNA,0.003487121
PA3966,0.003532605
dnaG,0.003548116
PA0623,0.003623188
PA5178,0.003695098
PA1029,0.003724228
PA2536,0.003825311
PA0922,0.003910793
PA0634,0.004076087
rpsP,0.004191666
rpoD,0.004352175
vgrG4,0.004420294
PA0637,0.004528986
PA5491,0.004543805
PA5446,0.004575785
rplI,0.004589243
tsf,0.004753528
PA2225,0.004781639
PA0329,0.004798095
proA,0.004972229
magD,0.005097163
PA2840,0.00515833
rpmF,0.005211791
PA1299,0.00536449
PA0124,0.005459717
rplU,0.005674892
tssC1,0.005712101
pchB,0.005737966
tssF1,0.005907372
prs,0.005966675
qsrO,0.006056742
rpsR,0.006193842
tssK1,0.006206433
rpsU,0.006311639
PA2539,0.006375518
PA0628,0.006793478
sutA,0.006815203
murD,0.00701307
recN,0.007021953
rplD,0.007082165
rpmJ,0.007115967
PA0635,0.007239813
PA0621,0.007246377
tpiA,0.007391456
tssE1,0.007476518
rpsI,0.007875845
PA1164,0.007903981
PA2537,0.007969398
flgZ,0.007969665
PA3720,0.008185534
purF,0.008237741
rpsK,0.008346541
alpA,0.008371423
PA0578,0.008605957
PA2224,0.008606949
rpsF,0.008639558
PA3021,0.008915767
magE,0.008925725
PA0619,0.009047715
PA1096,0.009097298
rpsM,0.009183392
PA2769,0.009218052
vqsM,0.009244501
PA0633,0.00951087
PA1030,0.009551028
PA3729,0.009684814
PA3850,0.009834156
PA3796,0.009918418
ig_370,0.01003641
hptB,0.010113415
tsi1,0.010187822
PA4324,0.010259237
PA1181,0.010468821
phoB,0.010682945
ddlB,0.010838381
PA0620,0.010854797
PA0632,0.010869565
PA5462,0.011050634
atvR,0.011233198
PA3352,0.011444092
PA0466,0.011475932
ftsQ,0.011794708
rpmE,0.011923886
PA0630,0.012228261
PA3718,0.012289486
PA4852,0.012398761
hxuI,0.01242025
zwf,0.012468353
PA0625,0.012681159
liuA,0.012930291
PA4514,0.013069812
guaB,0.013124163
PA2971,0.01338959
PA3413,0.013531656
PA0644,0.013586957
rplM,0.013659476
PA5113,0.013707364
PA4826,0.013714264
PA3940,0.013752647
PA3664,0.013983931
PA2223,0.01402614
PA0640,0.014039855
PA0126,0.014322064
PA2222,0.014344916
rplA,0.014462739
gyrA,0.014801083
PA2289,0.014982467
PA4635,0.015232237
PA2288,0.015256737
trpG,0.01528445
PA0645,0.015398551
PA3185,0.015535103
PA2901,0.015798459
secY,0.015818148
PA0563,0.015903995
rplK,0.016153139
PA2538,0.016257571
armR,0.016352418
rpsA,0.016520095
PA2540,0.016542
infC,0.016702629
pstS,0.016787486
sigX,0.017080128
PA1069,0.017180995
ftsZ,0.017213899
alpR,0.01756777
tse1,0.017811616
PA4223,0.01785145
warA,0.018105153
bfrB,0.018271697
PA2027,0.018568841
pchG,0.018807778
amgR,0.01885772
secE,0.018963076
PA4222,0.019126554
tplE,0.01944533
PA0125,0.019722623
PA4453,0.019872757
PA0638,0.019877898
htpX,0.020079265
PA0469,0.020166107
argF,0.020291017
clpV1,0.020349629
phoQ,0.020435897
gcdH,0.020555695
hisH2,0.020720434
PA1439,0.020795546
PA0646,0.020833333
crfX,0.02095238
PA0668.4,0.021039209
aguB,0.021308828
wbpH,0.021357985
PA0537,0.021377703
PA2983,0.021393943
ftsA,0.021618026
PA4280.2,0.021676761
PA0627,0.021680057
PA1639,0.021808413
fusA1,0.022003711
PA4690.2,0.022314313
PA3472,0.022335874
PA5369.2,0.022633089
tagT1,0.022951865
PA3414,0.023125987
PA0614,0.023481395
murG,0.023589417
proB,0.023699092
PA5182,0.023813763
pchF,0.024226968
PA3009,0.024248084
PA2865,0.024525731
ftsW,0.024545744
PA3727,0.02486452
metZ,0.025032871
PA0639,0.025281913
prrF2,0.025502072
PA5348,0.025562762
ig_120,0.025607673
tssL1,0.025639637
tsi2,0.025746839
PA0647,0.025815217
pchA,0.025820848
rpoB,0.026425218
vgrG1,0.026687549
tig,0.026725094
wzx,0.026777176
hfq,0.026859121
wzy,0.027095952
PA2854,0.027421978
cupC1,0.02772096
tssJ1,0.027731832
PA0919,0.027733503
thrS,0.027847949
PA2765,0.027896968
creD,0.028052279
PA3730,0.028058674
tli1,0.028371055
PA1592,0.028498321
PA1157,0.028638124
pchE,0.028689831
vgrG2b,0.029008607
pfiT,0.029024558
PA3317,0.029219871
dinB,0.02926067
oprI,0.029646159
nrdB,0.030281373
tssG1,0.030485422
PA0629,0.030678544
PA4354,0.030798237
hisF2,0.030921262
PA0734,0.031107922
nadE,0.031213447
PA4220,0.031240038
smpB,0.03148229
rluC,0.031806621
ig_312,0.031841069
ampP,0.032196366
PA4940,0.032341182
PA0626,0.03247578
hflC,0.032482998
PA5061,0.032868093
PA1305,0.033079403
gcd,0.033152694
pyrD,0.033186292
rbfA,0.033215356
PA0041,0.03347147
fis,0.033541547
nqrA,0.033655775
rplO,0.033763206
ig_111,0.033801786
PA1343,0.033907493
dnaJ,0.03405219
PA0615,0.034272195
PA4672,0.034368047
tagR1,0.034427797
ig_289,0.035045901
fptA,0.035065349
ig_524,0.035664164
pchC,0.035702901
PA0631,0.03606779
wbpI,0.036340453
wbpG,0.036978004
PA3806,0.037291718
ampO,0.037934332
pyoS5,0.038043478
wbpE,0.038253108
PA4406.1,0.03889066
PA4518,0.039528212
PA0616,0.039656519
PA2906,0.039678262
mliC,0.039856522
liuR,0.0403225
mucB,0.040327561
prtR,0.040483119
PA3187,0.040484539
magC,0.040595201
PA3559,0.040803315
prrF1,0.041122091
PA2228,0.041440867
PA0641,0.041449653
PA4280.5,0.041759643
pppA,0.041857095
PA4507,0.041968714
PA5184,0.042350248
PA2729,0.042397195
PA4004,0.042429688
PA5369.5,0.043034747
PA5481,0.04319195
purE,0.043269535
PA2559a,0.043353522
PA4690.5,0.043672298
PA0668.1,0.04430985
tagQ1,0.044379662
hisG,0.044404159
PA3048,0.044945669
sucC,0.044947402
PA3973,0.045020984
PA0636,0.045033459
pheT,0.045114231
PA0642,0.045289855
PA2560,0.045543645
PA4933,0.045801583
PA1031,0.045863345
PA2770,0.046875
PA1095,0.047130217
PA3190,0.048135161
magB,0.048160464
murA,0.048221718
P27,0.048772713
PA3109,0.048792403
dnaK,0.049198591
PA4943,0.049220144
PA1852,0.049238485
PA2974,0.049395889
murC,0.049419918
pcnA,0.049642865
PA3980,0.049891761
PA2855,0.049999005
PA0045,0.050047816
PA3292,0.050366592
PA2900,0.050612532
PA0921,0.050653755
icmF1,0.050678966
cynS,0.051004144
rpsD,0.051024226
argG,0.051048633
rpsO,0.051526984
PA5465,0.051601241
gloA1,0.051835889
tolA,0.051841325
PA2894,0.052159031
PA0643,0.052191225
guaA,0.052218764
tse2,0.052364573
ccoO2,0.052598024
PA4723,0.053258815
pilR,0.053873127
ccoP2,0.054191903
ig_364,0.054344866
rpsE,0.054568189
PA0435,0.055467007
sucD,0.055785783
PA0277,0.055810149
PA3371,0.056230565
infB,0.056373611
arnF,0.056423334
phzS,0.05674211
aspS,0.057031882
phoP,0.057075268
nrdA,0.057550935
