#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0043043	Peptide biosynthetic process	25	148	0.65	0.93	5.34e-06	208964.PA0579,208964.PA0610,208964.PA1338,208964.PA2398,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3655,208964.PA3656,208964.PA3742,208964.PA3745,208964.PA4229,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4432,208964.PA4567,208964.PA4568,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316,208964.PA5470	rpsU,prtN,ggt,fpvA,rplT,rpmI,rpmF,tsf,rpsB,rplS,rpsP,pchC,rpsK,rpsM,rpmJ,rplD,rpsL,rpsI,rpmA,rplU,rplI,rpsR,rpsF,rpmB,PA5470
GO:0006412	Translation	21	112	0.69	0.92	1.12e-05	208964.PA0579,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3655,208964.PA3656,208964.PA3742,208964.PA3745,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4432,208964.PA4567,208964.PA4568,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316,208964.PA5470	rpsU,rplT,rpmI,rpmF,tsf,rpsB,rplS,rpsP,rpsK,rpsM,rpmJ,rplD,rpsL,rpsI,rpmA,rplU,rplI,rpsR,rpsF,rpmB,PA5470
GO:0043604	Amide biosynthetic process	27	187	0.58	0.84	1.12e-05	208964.PA0579,208964.PA0610,208964.PA0836,208964.PA1338,208964.PA2398,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3417,208964.PA3655,208964.PA3656,208964.PA3742,208964.PA3745,208964.PA4229,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4432,208964.PA4567,208964.PA4568,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316,208964.PA5470	rpsU,prtN,ackA,ggt,fpvA,rplT,rpmI,rpmF,pdhA,tsf,rpsB,rplS,rpsP,pchC,rpsK,rpsM,rpmJ,rplD,rpsL,rpsI,rpmA,rplU,rplI,rpsR,rpsF,rpmB,PA5470
GO:0043603	Cellular amide metabolic process	29	248	0.49	0.68	9.03e-05	208964.PA0579,208964.PA0610,208964.PA0836,208964.PA1000,208964.PA1338,208964.PA1586,208964.PA2398,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3417,208964.PA3655,208964.PA3656,208964.PA3742,208964.PA3745,208964.PA4229,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4432,208964.PA4567,208964.PA4568,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316,208964.PA5470	rpsU,prtN,ackA,pqsE,ggt,sucB,fpvA,rplT,rpmI,rpmF,pdhA,tsf,rpsB,rplS,rpsP,pchC,rpsK,rpsM,rpmJ,rplD,rpsL,rpsI,rpmA,rplU,rplI,rpsR,rpsF,rpmB,PA5470
GO:0006091	Generation of precursor metabolites and energy	22	177	0.52	0.58	0.0010	208964.PA0510,208964.PA0918,208964.PA1555,208964.PA1556,208964.PA1586,208964.PA1587,208964.PA2482,208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648,208964.PA3417,208964.PA4470,208964.PA4587,208964.PA4748,208964.PA4922,208964.PA5429,208964.PA5491	PA0510,PA0918,ccoP2,ccoO2,sucB,lpdG,PA2482,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,pdhA,fumC1,ccpR,tpiA,azu,aspA,PA5491
GO:0044271	Cellular nitrogen compound biosynthetic process	42	533	0.32	0.45	0.0023	208964.PA0112,208964.PA0113,208964.PA0510,208964.PA0511,208964.PA0576,208964.PA0577,208964.PA0579,208964.PA0610,208964.PA0836,208964.PA1155,208964.PA1338,208964.PA1901,208964.PA2398,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3108,208964.PA3417,208964.PA3559,208964.PA3655,208964.PA3656,208964.PA3742,208964.PA3745,208964.PA4229,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4269,208964.PA4270,208964.PA4432,208964.PA4567,208964.PA4568,208964.PA4670,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316,208964.PA5470,208964.PA5554,208964.PA5555	PA0112,cyoE1,PA0510,nirJ,rpoD,dnaG,rpsU,prtN,ackA,nrdB,ggt,phzC2,fpvA,rplT,rpmI,rpmF,purF,pdhA,PA3559,tsf,rpsB,rplS,rpsP,pchC,rpsK,rpsM,rpmJ,rplD,rpsL,rpoC,rpoB,rpsI,rpmA,rplU,prs,rplI,rpsR,rpsF,rpmB,PA5470,atpD,atpG
GO:0010467	Gene expression	29	311	0.39	0.45	0.0038	208964.PA0576,208964.PA0579,208964.PA1164,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3179,208964.PA3655,208964.PA3656,208964.PA3742,208964.PA3743,208964.PA3744,208964.PA3745,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4269,208964.PA4270,208964.PA4432,208964.PA4567,208964.PA4568,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316,208964.PA5470,208964.PA5471	rpoD,rpsU,PA1164,rplT,rpmI,rpmF,rluB,tsf,rpsB,rplS,trmD,rimM,rpsP,rpsK,rpsM,rpmJ,rplD,rpsL,rpoC,rpoB,rpsI,rpmA,rplU,rplI,rpsR,rpsF,rpmB,PA5470,PA5471
GO:0045333	Cellular respiration	13	77	0.65	0.51	0.0050	208964.PA0510,208964.PA0918,208964.PA1555,208964.PA1586,208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2646,208964.PA2647,208964.PA2648,208964.PA4470,208964.PA5429	PA0510,PA0918,ccoP2,sucB,nuoF,nuoG,nuoH,nuoI,nuoK,nuoL,nuoM,fumC1,aspA
GO:0034641	Cellular nitrogen compound metabolic process	58	901	0.23	0.36	0.0078	208964.PA0112,208964.PA0113,208964.PA0510,208964.PA0511,208964.PA0576,208964.PA0577,208964.PA0579,208964.PA0610,208964.PA0836,208964.PA1000,208964.PA1155,208964.PA1164,208964.PA1338,208964.PA1586,208964.PA1587,208964.PA1901,208964.PA2398,208964.PA2741,208964.PA2742,208964.PA2840,208964.PA2970,208964.PA3007,208964.PA3108,208964.PA3179,208964.PA3306,208964.PA3417,208964.PA3559,208964.PA3617,208964.PA3655,208964.PA3656,208964.PA3742,208964.PA3743,208964.PA3744,208964.PA3745,208964.PA4229,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4269,208964.PA4270,208964.PA4432,208964.PA4567,208964.PA4568,208964.PA4670,208964.PA4748,208964.PA4763,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5173,208964.PA5316,208964.PA5377,208964.PA5470,208964.PA5471,208964.PA5554,208964.PA5555	PA0112,cyoE1,PA0510,nirJ,rpoD,dnaG,rpsU,prtN,ackA,pqsE,nrdB,PA1164,ggt,sucB,lpdG,phzC2,fpvA,rplT,rpmI,deaD,rpmF,lexA,purF,rluB,PA3306,pdhA,PA3559,recA,tsf,rpsB,rplS,trmD,rimM,rpsP,pchC,rpsK,rpsM,rpmJ,rplD,rpsL,rpoC,rpoB,rpsI,rpmA,rplU,prs,tpiA,recN,rplI,rpsR,rpsF,arcC,rpmB,PA5377,PA5470,PA5471,atpD,atpG
GO:0009060	Aerobic respiration	10	51	0.71	0.46	0.0117	208964.PA1555,208964.PA1586,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2646,208964.PA2647,208964.PA2648,208964.PA4470,208964.PA5429	ccoP2,sucB,nuoG,nuoH,nuoI,nuoK,nuoL,nuoM,fumC1,aspA
GO:0019546	Arginine deiminase pathway	4	4	1.42	0.47	0.0194	208964.PA5170,208964.PA5171,208964.PA5172,208964.PA5173	arcD,arcA,arcB,arcC
GO:1901566	Organonitrogen compound biosynthetic process	41	589	0.26	0.32	0.0225	208964.PA0112,208964.PA0113,208964.PA0510,208964.PA0511,208964.PA0579,208964.PA0610,208964.PA0836,208964.PA1338,208964.PA1901,208964.PA2398,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3108,208964.PA3417,208964.PA3655,208964.PA3656,208964.PA3742,208964.PA3745,208964.PA3792,208964.PA4007,208964.PA4229,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4402,208964.PA4414,208964.PA4432,208964.PA4567,208964.PA4568,208964.PA4670,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5172,208964.PA5316,208964.PA5470,208964.PA5554,208964.PA5555	PA0112,cyoE1,PA0510,nirJ,rpsU,prtN,ackA,ggt,phzC2,fpvA,rplT,rpmI,rpmF,purF,pdhA,tsf,rpsB,rplS,rpsP,leuA,proA,pchC,rpsK,rpsM,rpmJ,rplD,rpsL,argJ,murD,rpsI,rpmA,rplU,prs,rplI,rpsR,rpsF,arcB,rpmB,PA5470,atpD,atpG
