#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005840	Ribosome	21	59	0.97	1.84	7.11e-11	208964.PA0579,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3656,208964.PA3742,208964.PA3744,208964.PA3745,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4432,208964.PA4463,208964.PA4567,208964.PA4568,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316	rpsU,rplT,rpmI,rpmF,rpsB,rplS,rimM,rpsP,rpsK,rpsM,rpmJ,rplD,rpsL,rpsI,PA4463,rpmA,rplU,rplI,rpsR,rpsF,rpmB
GO:0043232	Intracellular non-membrane-bounded organelle	22	78	0.87	1.6	4.65e-10	208964.PA0577,208964.PA0579,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3656,208964.PA3742,208964.PA3744,208964.PA3745,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4432,208964.PA4463,208964.PA4567,208964.PA4568,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316	dnaG,rpsU,rplT,rpmI,rpmF,rpsB,rplS,rimM,rpsP,rpsK,rpsM,rpmJ,rplD,rpsL,rpsI,PA4463,rpmA,rplU,rplI,rpsR,rpsF,rpmB
GO:0043228	Non-membrane-bounded organelle	23	103	0.77	1.37	4.36e-09	208964.PA0577,208964.PA0579,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3353,208964.PA3656,208964.PA3742,208964.PA3744,208964.PA3745,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4432,208964.PA4463,208964.PA4567,208964.PA4568,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316	dnaG,rpsU,rplT,rpmI,rpmF,PA3353,rpsB,rplS,rimM,rpsP,rpsK,rpsM,rpmJ,rplD,rpsL,rpsI,PA4463,rpmA,rplU,rplI,rpsR,rpsF,rpmB
GO:0044391	Ribosomal subunit	16	49	0.94	1.48	2.45e-08	208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3656,208964.PA3742,208964.PA3745,208964.PA4240,208964.PA4241,208964.PA4268,208964.PA4432,208964.PA4463,208964.PA4567,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316	rplT,rpmI,rpmF,rpsB,rplS,rpsP,rpsK,rpsM,rpsL,rpsI,PA4463,rpmA,rplI,rpsR,rpsF,rpmB
GO:0022626	Cytosolic ribosome	12	41	0.89	1.08	7.16e-06	208964.PA2741,208964.PA2742,208964.PA3656,208964.PA3742,208964.PA4240,208964.PA4432,208964.PA4463,208964.PA4567,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316	rplT,rpmI,rpsB,rplS,rpsK,rpsI,PA4463,rpmA,rplI,rpsR,rpsF,rpmB
GO:0015935	Small ribosomal subunit	9	21	1.05	1.11	1.56e-05	208964.PA3656,208964.PA3745,208964.PA4240,208964.PA4241,208964.PA4268,208964.PA4432,208964.PA4463,208964.PA4934,208964.PA4935	rpsB,rpsP,rpsK,rpsM,rpsL,rpsI,PA4463,rpsR,rpsF
GO:0032991	Protein-containing complex	39	438	0.37	0.66	1.92e-05	208964.PA0577,208964.PA0958,208964.PA1155,208964.PA1340,208964.PA1586,208964.PA2227,208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2646,208964.PA2647,208964.PA2648,208964.PA2685,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3186,208964.PA3656,208964.PA3742,208964.PA3745,208964.PA4240,208964.PA4241,208964.PA4268,208964.PA4269,208964.PA4270,208964.PA4432,208964.PA4463,208964.PA4470,208964.PA4567,208964.PA4670,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316,208964.PA5377,208964.PA5471,208964.PA5554,208964.PA5555	dnaG,oprD,nrdB,PA1340,sucB,vqsM,nuoF,nuoG,nuoH,nuoI,nuoK,nuoL,nuoM,vgrG1c,rplT,rpmI,rpmF,oprB,rpsB,rplS,rpsP,rpsK,rpsM,rpsL,rpoC,rpoB,rpsI,PA4463,fumC1,rpmA,prs,rplI,rpsR,rpsF,rpmB,PA5377,PA5471,atpD,atpG
GO:0045272	Plasma membrane respiratory chain complex I	7	12	1.19	1.06	4.85e-05	208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2646,208964.PA2647,208964.PA2648	nuoF,nuoG,nuoH,nuoI,nuoK,nuoL,nuoM
GO:0070469	Respirasome	8	27	0.89	0.79	0.00036	208964.PA1555,208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2646,208964.PA2647,208964.PA2648	ccoP2,nuoF,nuoG,nuoH,nuoI,nuoK,nuoL,nuoM
GO:1990204	Oxidoreductase complex	9	37	0.81	0.75	0.00041	208964.PA1155,208964.PA1586,208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2646,208964.PA2647,208964.PA2648	nrdB,sucB,nuoF,nuoG,nuoH,nuoI,nuoK,nuoL,nuoM
