#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005198	Structural molecule activity	21	68	0.91	1.53	5.82e-09	208964.PA0579,208964.PA1804,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3656,208964.PA3742,208964.PA3745,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4432,208964.PA4567,208964.PA4568,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316,208964.PA5348	rpsU,hupB,rplT,rpmI,rpmF,rpsB,rplS,rpsP,rpsK,rpsM,rpmJ,rplD,rpsL,rpsI,rpmA,rplU,rplI,rpsR,rpsF,rpmB,hupA
GO:0003735	Structural constituent of ribosome	19	57	0.94	1.53	1.09e-08	208964.PA0579,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3656,208964.PA3742,208964.PA3745,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4432,208964.PA4567,208964.PA4568,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316	rpsU,rplT,rpmI,rpmF,rpsB,rplS,rpsP,rpsK,rpsM,rpmJ,rplD,rpsL,rpsI,rpmA,rplU,rplI,rpsR,rpsF,rpmB
GO:0048038	Quinone binding	8	17	1.09	0.75	0.00097	208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648	nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM
GO:0050136	NADH dehydrogenase (quinone) activity	7	15	1.09	0.63	0.0035	208964.PA2641,208964.PA2642,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648	nuoF,nuoG,nuoI,nuoJ,nuoK,nuoL,nuoM
GO:0008137	NADH dehydrogenase (ubiquinone) activity	6	12	1.12	0.53	0.0094	208964.PA2641,208964.PA2642,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648	nuoF,nuoG,nuoJ,nuoK,nuoL,nuoM
GO:0015453	Oxidoreduction-driven active transmembrane transporter activity	8	32	0.82	0.43	0.0184	208964.PA1555,208964.PA1556,208964.PA2641,208964.PA2642,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648	ccoP2,ccoO2,nuoF,nuoG,nuoJ,nuoK,nuoL,nuoM
GO:0016651	Oxidoreductase activity, acting on NAD(P)H	10	54	0.69	0.41	0.0184	208964.PA0112,208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648,208964.PA3723	PA0112,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,PA3723
GO:0019843	rRNA binding	9	44	0.73	0.42	0.0184	208964.PA2741,208964.PA4240,208964.PA4241,208964.PA4262,208964.PA4268,208964.PA4568,208964.PA4932,208964.PA4934,208964.PA4935	rplT,rpsK,rpsM,rplD,rpsL,rplU,rplI,rpsR,rpsF
GO:0016655	Oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	8	39	0.73	0.35	0.0385	208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648	nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM
GO:0009055	Electron transfer activity	13	105	0.51	0.31	0.0460	208964.PA0918,208964.PA1555,208964.PA1556,208964.PA2482,208964.PA2641,208964.PA2642,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648,208964.PA4587,208964.PA4922,208964.PA5491	PA0918,ccoP2,ccoO2,PA2482,nuoF,nuoG,nuoJ,nuoK,nuoL,nuoM,ccpR,azu,PA5491
