#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PA0079	PA4489	208964.PA0079	208964.PA4489	0	0	0	0	0.460	0	0	0	0.459
PA0079	PA2537	208964.PA0079	208964.PA2537	0	0	0.166	0	0.384	0	0	0	0.464
PA0079	vgrG1c	208964.PA0079	208964.PA2685	0.063	0	0.774	0	0.327	0	0	0.074	0.850
PA0079	clpV1	208964.PA0079	208964.PA0090	0.205	0	0.752	0	0.863	0	0	0.081	0.972
PA0079	PA0086	208964.PA0079	208964.PA0086	0.220	0	0.761	0	0.868	0	0	0	0.973
PA0079	PA0087	208964.PA0079	208964.PA0087	0.225	0	0.762	0	0.874	0	0	0.153	0.977
PA0079	PA0088	208964.PA0079	208964.PA0088	0.205	0	0.774	0	0.868	0.402	0	0.122	0.985
PA0079	PA0083	208964.PA0079	208964.PA0083	0.271	0	0.774	0	0.917	0	0	0.136	0.986
PA0083	PA2537	208964.PA0083	208964.PA2537	0	0	0	0	0.436	0	0	0	0.436
PA0083	PA3729	208964.PA0083	208964.PA3729	0	0	0	0	0.568	0	0	0	0.568
PA0083	vgrG1c	208964.PA0083	208964.PA2685	0.066	0	0.774	0	0.553	0	0	0.095	0.903
PA0083	PA0088	208964.PA0083	208964.PA0088	0.376	0	0.774	0	0.846	0	0	0.123	0.978
PA0083	clpV1	208964.PA0083	208964.PA0090	0.376	0	0.765	0	0.892	0	0	0.193	0.985
PA0083	PA0087	208964.PA0083	208964.PA0087	0.400	0	0.774	0	0.904	0	0	0.147	0.987
PA0083	PA0086	208964.PA0083	208964.PA0086	0.400	0	0.774	0	0.927	0.900	0	0	0.998
PA0086	PA2536	208964.PA0086	208964.PA2536	0	0	0.231	0	0.261	0	0	0	0.407
PA0086	PA3729	208964.PA0086	208964.PA3729	0	0	0	0	0.446	0	0	0	0.446
PA0086	PA4487	208964.PA0086	208964.PA4487	0	0	0	0	0.475	0	0	0	0.475
PA0086	PA4489	208964.PA0086	208964.PA4489	0	0	0	0	0.488	0	0	0	0.487
PA0086	PA2539	208964.PA0086	208964.PA2539	0	0	0.161	0	0.455	0	0	0	0.523
PA0086	PA2537	208964.PA0086	208964.PA2537	0	0	0.220	0	0.464	0	0	0	0.564
PA0086	vgrG1c	208964.PA0086	208964.PA2685	0.078	0	0.765	0	0.458	0	0	0.083	0.877
PA0086	PA0088	208964.PA0086	208964.PA0088	0.788	0	0.773	0	0.911	0	0	0	0.995
PA0086	clpV1	208964.PA0086	208964.PA0090	0.785	0	0.752	0	0.870	0	0	0.381	0.995
PA0086	PA0087	208964.PA0086	208964.PA0087	0.806	0	0.774	0	0.949	0	0	0	0.997
PA0087	PA3729	208964.PA0087	208964.PA3729	0	0	0	0	0.406	0	0	0	0.406
PA0087	PA2539	208964.PA0087	208964.PA2539	0	0	0	0	0.432	0	0	0	0.432
PA0087	PA4489	208964.PA0087	208964.PA4489	0	0	0	0	0.476	0	0	0	0.476
PA0087	PA2537	208964.PA0087	208964.PA2537	0	0	0.201	0	0.471	0	0	0	0.559
PA0087	vgrG1c	208964.PA0087	208964.PA2685	0.077	0	0.770	0	0.443	0	0	0.077	0.876
PA0087	clpV1	208964.PA0087	208964.PA0090	0.785	0	0.757	0	0.877	0	0	0.104	0.993
PA0087	PA0088	208964.PA0087	208964.PA0088	0.788	0	0.774	0	0.934	0	0	0.152	0.997
PA0088	PA3729	208964.PA0088	208964.PA3729	0	0	0	0	0.459	0	0	0	0.459
PA0088	PA4487	208964.PA0088	208964.PA4487	0	0	0	0	0.460	0	0	0	0.459
PA0088	PA2537	208964.PA0088	208964.PA2537	0.050	0	0.170	0	0.460	0	0	0	0.537
PA0088	PA4489	208964.PA0088	208964.PA4489	0	0	0	0	0.573	0	0	0	0.573
PA0088	vgrG1c	208964.PA0088	208964.PA2685	0.063	0	0.774	0	0.304	0	0	0.082	0.846
