#node	identifier	domain_summary_url	annotation	other_names_and_aliases
PA0050	208964.PA0050	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=46:SIGNAL(1|21)+	878575,AAG03440,AAG03440.1,Hypothetical protein,NC_002516.2,NP_248740,NP_248740.1,NZ_QZGE01000015.1,PA0050,Q9I782,Q9I782_PSEAE,Uncharacterized protein,WP_003083582.1,hypothetical protein,pae:PA0050
PA0079	208964.PA0079	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=444:Pfam_T6SS_VasE(19|442)+	879382,AAG03469,AAG03469.1,Hypothetical protein,NC_002516.2,NP_248769,NP_248769.1,NZ_QZGE01000015.1,PA0079,Q9I753,Q9I753_PSEAE,Type VI secretion system protein ImpJ,Uncharacterized protein,WP_003115052.1,hypothetical protein,pae:PA0079
PA0083	208964.PA0083	Conserved hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=172:Pfam_T6SS_VipA(11|164)+	4UQY,4UQZ,5N8N,879476,AAG03473,AAG03473.1,Conserved hypothetical protein,Hypothetical protein,NC_002516.2,NP_248773,NP_248773.1,NZ_QZGE01000015.1,PA0083,Q9I749,Q9I749_PSEAE,Type VI secretion system protein ImpB,Uncharacterized protein,WP_003083666.1,conserved hypothetical protein,pae:PA0083
PA0086	208964.PA0086	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=281:Pfam_TPR_14(18|59)+Pfam_ImpE(158|275)+	4UQX,4UQY,4UQZ,879504,AAG03476,AAG03476.1,Hypothetical protein,NC_002516.2,NP_248776,NP_248776.1,NZ_QZGE01000015.1,PA0086,Q9I746,Q9I746_PSEAE,Type VI secretion system protein ImpE,Uncharacterized protein,WP_003119488.1,hypothetical protein,pae:PA0086
PA0087	208964.PA0087	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=169:Pfam_GPW_gp25(38|142)+	879495,AAG03477,AAG03477.1,GPW_gp25 domain-containing protein,Hypothetical protein,NC_002516.2,NP_248777,NP_248777.1,NZ_QZGE01000015.1,PA0087,Q9I745,Q9I745_PSEAE,Type VI secretion system protein ImpF,WP_003104971.1,hypothetical protein,pae:PA0087
PA0088	208964.PA0088	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=619:Pfam_T6SS_TssF(6|618)+	879483,AAG03478,AAG03478.1,Hypothetical protein,NC_002516.2,NP_248778,NP_248778.1,NZ_QZGE01000015.1,PA0088,Q9I744,Q9I744_PSEAE,Type VI secretion system protein ImpG,Uncharacterized protein,WP_003115055.1,hypothetical protein,pae:PA0088
PA0111	208964.PA0111	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=192:TRANS(20|38)+	879275,AAG03501,AAG03501.1,Hypothetical protein,NC_002516.2,NP_248801,NP_248801.1,NZ_QZGE01000015.1,PA0111,Q9I721,Q9I721_PSEAE,Uncharacterized protein,WP_003083738.1,hypothetical protein,pae:PA0111
PA0112	208964.PA0112	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=357:Pfam_COX15-CtaA(10|320)+	879408,AAG03502,AAG03502.1,Cytochrome c oxidase assembly protein subunit 15,Hypothetical protein,NC_002516.2,NP_248802,NP_248802.1,NZ_QZGE01000015.1,PA0112,Q9I720,Q9I720_PSEAE,Uncharacterized protein,WP_003115033.1,hypothetical protein,pae:PA0112
PA0124	208964.PA0124	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=93:Pfam_ParE_toxin(3|91)+	879205,AAG03514,AAG03514.1,Hypothetical protein,NC_002516.2,NP_248814,NP_248814.1,NZ_QZGE01000015.1,PA0124,Q9I708,Q9I708_PSEAE,Uncharacterized protein,WP_003083773.1,hypothetical protein,pae:PA0124
PA0200	208964.PA0200	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=70:Pfam_DUF3079(1|51)+	879623,AAG03589,AAG03589.1,Hypothetical protein,NC_002516.2,NP_248891,NP_248891.1,NZ_QZGE01000024.1,PA0200,Q9I6T8,Q9I6T8_PSEAE,Uncharacterized protein,WP_003111981.1,hypothetical protein,pae:PA0200
