Name,Score,Direction,Studies,string_format
PA5470,5.24E-06,Up,4,PA5470
armZ,2.98E-05,Up,4,PA5471
recA,3.60E-05,Up,4,PA3617
lexA,4.21E-05,Up,4,PA3007
sulA,5.71E-05,Up,4,PA3008
rpmI,0.000303218,Up,4,PA2742
rpmB,0.0003914,Up,4,PA5316
PA3731,0.00049421,Up,4,PA3731
PA0805,0.000597631,Up,4,PA0805
PA3179,0.000626524,Up,4,PA3179
rplT,0.000673746,Up,4,PA2741
PA1440,0.000810021,Up,4,PA1440
PA0622,0.000905797,Up,4,PA0622
obg,0.000949845,Up,4,PA4566
tssB1,0.001109273,Up,4,PA0083
rpmA,0.001233242,Up,4,PA4567
mgtE,0.001251918,Up,4,PA0913
ampC,0.0012749,Up,4,PA4110
rplS,0.001341011,Up,4,PA3742
PA2482,0.0015906,Up,4,PA2482
PA3732,0.001774344,Up,4,PA3732
PA0618,0.001811184,Up,4,PA0618
prtN,0.001990322,Up,4,PA0610
PA4111,0.002549394,Up,4,PA4111
rpsL,0.002695496,Up,4,PA4268
eco,0.002750786,Up,4,PA2755
PA4325,0.002772505,Up,4,PA4325
rimM,0.002918014,Up,4,PA3744
PA3306,0.002927298,Up,4,PA3306
PA0624,0.00317029,Up,4,PA0624
magF,0.003187759,Up,4,PA4487
trmD,0.003279529,Up,4,PA3743
tagJ1,0.003397149,Up,4,PA0086
rpsB,0.003444905,Up,4,PA3656
Pae_tRNA,0.003487121,Up,3,Pae_RNA
PA3966,0.003532605,Up,4,PA3966
dnaG,0.003548116,Up,4,PA0577
PA5178,0.003695098,Up,4,PA5178
PA1029,0.003724228,Up,3,PA1029
PA2536,0.003825311,Up,4,PA2536
PA0922,0.003910793,Up,4,PA0922
PA0634,0.004076087,Up,4,PA0634
rpsP,0.004191666,Up,4,PA3745
rpoD,0.004352175,Up,4,PA0576
vgrG4,0.004420294,Up,4,PA2685
PA0637,0.004528986,Up,4,PA0637
PA5491,0.004543805,Up,4,PA5491
PA5446,0.004575785,Up,4,PA5446
rplI,0.004589243,Up,4,PA4932
tsf,0.004753528,Up,4,PA3655
PA2225,0.004781639,Up,3,PA2225
PA0329,0.004798095,Up,4,PA0329
proA,0.004972229,Up,4,PA4007
magD,0.005097163,Up,4,PA4489
PA2840,0.00515833,Up,4,PA2840
rpmF,0.005211791,Up,4,PA2970
PA1299,0.00536449,Up,4,PA1299
PA0124,0.005459717,Up,4,PA0124
rplU,0.005674892,Up,4,PA4568
tssF1,0.005907372,Up,4,PA0088
prs,0.005966675,Up,4,PA4670
qsrO,0.006056742,Up,3,PA2226
rpsR,0.006193842,Up,4,PA4934
tssK1,0.006206433,Up,4,PA0079
rpsU,0.006311639,Up,4,PA0579
PA2539,0.006375518,Up,3,PA2539
PA0628,0.006793478,Up,4,PA0628
sutA,0.006815203,Up,4,PA5285
murD,0.00701307,Up,4,PA4414
recN,0.007021953,Up,4,PA4763
rplD,0.007082165,Up,4,PA4262
rpmJ,0.007115967,Up,4,PA4242
PA0635,0.007239813,Up,4,PA0635
PA0621,0.007246377,Up,4,PA0621
tpiA,0.007391456,Up,4,PA4748
tssE1,0.007476518,Up,4,PA0087
rpsI,0.007875845,Up,4,PA4432
PA1164,0.007903981,Up,4,PA1164
PA2537,0.007969398,Up,4,PA2537
flgZ,0.007969665,Up,4,PA3353
PA3720,0.008185534,Up,4,PA3720
purF,0.008237741,Up,4,PA3108
rpsK,0.008346541,Up,4,PA4240
alpA,0.008371423,Up,4,PA0907
PA0578,0.008605957,Up,4,PA0578
PA2224,0.008606949,Up,3,PA2224
rpsF,0.008639558,Up,4,PA4935
PA3021,0.008915767,Up,4,PA3021
magE,0.008925725,Up,4,PA4488
PA1096,0.009097298,Up,4,PA1096
rpsM,0.009183392,Up,4,PA4241
PA2769,0.009218052,Up,4,PA2769
vqsM,0.009244501,Up,3,PA2227
PA0633,0.00951087,Up,4,PA0633
PA1030,0.009551028,Up,4,PA1030
PA3729,0.009684814,Up,4,PA3729
PA3850,0.009834156,Up,4,PA3850
PA3796,0.009918418,Up,4,PA3796
PA4607,8.17E-06,Down,4,PA4607
arcB,1.20E-05,Down,4,PA5172
PA1746,2.02E-05,Down,4,PA1746
adhA,2.68E-05,Down,4,PA5427
oprB,3.27E-05,Down,4,PA3186
nuoI,3.85E-05,Down,4,PA2644
PA1041,4.76E-05,Down,4,PA1041
pilA,5.98E-05,Down,3,PA4525
oprD,7.49E-05,Down,4,PA0958
arcC,0.000125642,Down,4,PA5173
PA0200,0.000139289,Down,4,PA0200
nuoF,0.000181553,Down,4,PA2641
PA3615,0.000190212,Down,4,PA3615
PA4139,0.000209057,Down,4,PA4139
arcA,0.000242172,Down,4,PA5171
sucB,0.000248495,Down,4,PA1586
ccoP2,0.000296977,Down,4,PA1555
ccpR,0.000306237,Down,4,PA4587
nuoL,0.000337388,Down,4,PA2647
nirE,0.000365861,Down,3,PA0510
PA0918,0.000368188,Down,4,PA0918
nuoH,0.000391133,Down,4,PA2643
ftsZ,0.000414135,Down,4,PA4407
cspD,0.000416691,Down,4,PA2622
PA4108,0.000465235,Down,4,PA4108
nuoJ,0.000488515,Down,4,PA2645
nuoK,0.000501718,Down,4,PA2646
oprI,0.000581179,Down,4,PA2853
PA4577,0.000596242,Down,4,PA4577
azu,0.000666912,Down,4,PA4922
PA5475,0.000743481,Down,4,PA5475
ansB,0.000758089,Down,4,PA1337
katA,0.000763315,Down,4,PA4236
ccoO2,0.00085595,Down,4,PA1556
PA0713,0.000874938,Down,4,PA0713
PA4352,0.000882604,Down,4,PA4352
PA4611,0.000962723,Down,4,PA4611
PA3572,0.001019498,Down,4,PA3572
nuoG,0.001038273,Down,4,PA2642
PA3309,0.001140976,Down,4,PA3309
PA1894,0.001141453,Down,4,PA1894
PA1888,0.001148234,Down,4,PA1888
