#node	identifier	category	term ID	term description
PA0050	208964.PA0050	UniProt Keywords	KW-0732	Signal
PA0079	208964.PA0079	STRING clusters	CL:10314	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0079	208964.PA0079	STRING clusters	CL:10315	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0079	208964.PA0079	STRING clusters	CL:10316	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0079	208964.PA0079	STRING clusters	CL:10317	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0079	208964.PA0079	STRING clusters	CL:10318	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0079	208964.PA0079	STRING clusters	CL:10319	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0079	208964.PA0079	STRING clusters	CL:10320	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0079	208964.PA0079	STRING clusters	CL:10321	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0079	208964.PA0079	STRING clusters	CL:10322	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0079	208964.PA0079	STRING clusters	CL:10323	Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0079	208964.PA0079	STRING clusters	CL:10397	Mixed, incl. Biofilm formation - Pseudomonas aeruginosa, and Type VI secretion system, RhsGE-associated Vgr protein
PA0079	208964.PA0079	STRING clusters	CL:10399	Biofilm formation - Pseudomonas aeruginosa, and Tetratricopeptide repeat
PA0079	208964.PA0079	KEGG	pae02025	Biofilm formation - Pseudomonas aeruginosa
PA0079	208964.PA0079	Pfam	PF05936	Bacterial Type VI secretion, VC_A0110, EvfL, ImpJ, VasE 
PA0079	208964.PA0079	InterPro	IPR010263	Type VI secretion system TssK
PA0083	208964.PA0083	STRING clusters	CL:10314	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0083	208964.PA0083	STRING clusters	CL:10315	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0083	208964.PA0083	STRING clusters	CL:10316	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0083	208964.PA0083	STRING clusters	CL:10317	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0083	208964.PA0083	STRING clusters	CL:10318	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0083	208964.PA0083	STRING clusters	CL:10319	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0083	208964.PA0083	STRING clusters	CL:10320	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0083	208964.PA0083	STRING clusters	CL:10321	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0083	208964.PA0083	STRING clusters	CL:10322	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0083	208964.PA0083	STRING clusters	CL:10323	Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0083	208964.PA0083	STRING clusters	CL:10397	Mixed, incl. Biofilm formation - Pseudomonas aeruginosa, and Type VI secretion system, RhsGE-associated Vgr protein
PA0083	208964.PA0083	STRING clusters	CL:10399	Biofilm formation - Pseudomonas aeruginosa, and Tetratricopeptide repeat
PA0083	208964.PA0083	STRING clusters	CL:10402	Mixed, incl. Tetratricopeptide repeat, and TssC1, C-terminal
PA0083	208964.PA0083	KEGG	pae02025	Biofilm formation - Pseudomonas aeruginosa
PA0083	208964.PA0083	Pfam	PF05591	Type VI secretion system, VipA, VC_A0107 or Hcp2
PA0083	208964.PA0083	InterPro	IPR008312	Type VI secretion system sheath protein TssB1
PA0086	208964.PA0086	STRING clusters	CL:10314	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0086	208964.PA0086	STRING clusters	CL:10315	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0086	208964.PA0086	STRING clusters	CL:10316	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0086	208964.PA0086	STRING clusters	CL:10317	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0086	208964.PA0086	STRING clusters	CL:10318	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0086	208964.PA0086	STRING clusters	CL:10319	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0086	208964.PA0086	STRING clusters	CL:10320	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0086	208964.PA0086	STRING clusters	CL:10321	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0086	208964.PA0086	STRING clusters	CL:10322	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0086	208964.PA0086	STRING clusters	CL:10323	Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0086	208964.PA0086	STRING clusters	CL:10397	Mixed, incl. Biofilm formation - Pseudomonas aeruginosa, and Type VI secretion system, RhsGE-associated Vgr protein
PA0086	208964.PA0086	STRING clusters	CL:10399	Biofilm formation - Pseudomonas aeruginosa, and Tetratricopeptide repeat
PA0086	208964.PA0086	STRING clusters	CL:10402	Mixed, incl. Tetratricopeptide repeat, and TssC1, C-terminal
PA0086	208964.PA0086	STRING clusters	CL:10404	Mixed, incl. Tetratricopeptide repeat, and Type VI secretion, TssG
PA0086	208964.PA0086	UniProt Keywords	KW-0175	Coiled coil
PA0086	208964.PA0086	Pfam	PF07024	ImpE protein
